"seqno","organizer","tel","extension","mobile telephone","zipcode","district","hosp_addr","type","location","mon_stime","mon_dtime","tue_stime","tue_dtime","wed_stime","wed_dtime","thu_stime","thu_dtime","fri_stime","fri_dtime","sat_stime","sat_dtime","sun_stime","sun_dtime","remark","date","battery expiration date","electrical pads expiration date"
"4401","新北巿八里區衛生所","26101902","","","249","八里區","新北市八里區舊城路16號","其他","1樓侯診區","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:07","2014-05-21","2020-10-31","2019-12-31"
"45563","新北市八里區公所","26102621","","","249","八里區","新北市八里區八里大道18號","其他","行政大樓1F大廳","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:33","2019-11-01","2024-08-31","2025-03-31"
"8061","新北市政府環境保護局八里區清潔隊","26104569","","","249","八里區","新北市八里區博物館路10之1號","其他","餐廳","08:00:00","17:00:00","08:00:00","17:00:00","","","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","2021-12-20 19:58:39","2022-01-11","2028-12-31","2026-11-30"
"7526","新北市私立聖心國民小學","26182330","","","249","八里區","新北市八里區龍米路一段261號","學校、大型集會場所","總務處門口","08:00:00","15:55:00","08:00:00","15:55:00","08:00:00","15:55:00","08:00:00","15:55:00","08:00:00","15:55:00","","","","","2021-12-20 19:57:36","2014-12-26","2025-11-01","2025-12-12"
"12349","新北市立八里愛心教養院","(02) 26106677#336","336","","249","八里區","新北市八里區華富山37號","其他","3樓保健組走廊備藥室旁","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","2021-12-20 19:58:28","2019-08-01","",""
"12349","新北市立八里愛心教養院","(02)26106677#200,#336","336","","249","八里區","新北市八里區華富山37號","其他","2F會計室門口","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","2021-12-20 19:58:37","2020-03-27","",""
"58432","品元實業商港廠","(02)2610-8300#2310","2310","","249","八里區","新北市八里區商港五路99號","其他","辦公室入口","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","","","","","2022-11-07 16:53:48","2023-06-09","",""
"3296","新北市八里區大崁老人活動中心","02-26102621","","","249","八里區","新北市八里區中山路一段21號","其他","新北市八里區大崁老人活動中心","08:25:00","17:00:00","08:25:00","17:00:00","08:25:00","17:00:00","08:25:00","17:00:00","08:25:00","17:00:00","","","","","2021-12-20 19:56:56","2014-04-09","2028-06-30","2027-03-18"
"3302","新北市八里區下庄市民活動中心","02-26102621","","","249","八里區","新北市八里區舊城路19號4樓","其他","新北市八里區下庄市民活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:56","","",""
"3305","新北市八里區文化市民活動中心","02-26102621","","","249","八里區","新北市八里區中山路二段251號","其他","新北市八里區文化市民活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:56","2014-04-09","2026-07-31","2025-12-12"
"3309","新北市八里區龍米市民活動中心","02-26102621","","","249","八里區","新北市八里區龍米路一段223號","其他","活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:56","","",""
"3310","新北市八里區中庄市民活動中心","02-26102621","","","249","八里區","新北市八里區中山路一段109號","其他","新北市八里區中庄市民活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:56","2014-04-09","2025-01-31","2025-02-28"
"3311","新北市八里區大埤頂市民活動中心","02-26102621","","","249","八里區","新北市八里區中山路一段95號","其他","新北市八里區大埤頂市民活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:56","2014-04-09","2027-06-30","2025-09-30"
"11626","新北市八里區公所慈恩納骨塔","02-26105542","","","249","八里區","新北市八里區龍米路2段171巷1號","其他","入大廳左側樓梯間","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","2021-12-20 19:58:25","2014-02-03","2027-03-01","2025-12-31"
"5464","新北市八里區米倉國民小學","02-26182202#225","225","","249","八里區","新北市八里區龍米路2段129巷1號","學校、大型集會場所","米倉國民小學","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","2021-12-20 19:58:51","2024-09-12","2024-08-31","2025-01-31"
"5464","新北市八里區米倉國民小學","02-26182202-202","202","","249","八里區","新北市八里區龍米路2段129巷1號","學校、大型集會場所","禮堂門口","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","","","","","2021-12-20 19:57:17","2014-10-31","2029-12-31","2025-06-30"
"11000","新北市私立聖心女子高級中學","02-26182287","","","249","八里區","新北市八里區龍米路一段263號","學校、大型集會場所","行政大樓","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:57:13","2014-06-27","2026-04-30","2025-01-01"
"11000","新北市私立聖心女子高級中學","02-26182287","","","249","八里區","新北市八里區龍米路一段263號","學校、大型集會場所","聖心樓一樓門口","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:58:08","2018-02-07","2025-08-02","2025-07-21"
