year,month,district,gender,total,population_plains,population_mountains
109,1,中山區,女,879,479,400
109,1,中山區,男,580,333,247
109,1,中山區,計,1459,812,647
109,1,中正區,女,398,225,173
109,1,中正區,男,335,206,129
109,1,中正區,計,733,431,302
109,1,信義區,女,670,357,313
109,1,信義區,男,445,254,191
109,1,信義區,計,1115,611,504
109,1,內湖區,女,1412,910,502
109,1,內湖區,男,1071,731,340
109,1,內湖區,計,2483,1641,842
109,1,北投區,女,955,548,407
109,1,北投區,男,701,438,263
109,1,北投區,計,1656,986,670
109,1,南港區,女,804,557,247
109,1,南港區,男,662,491,171
109,1,南港區,計,1466,1048,418
109,1,士林區,女,981,552,429
109,1,士林區,男,694,400,294
109,1,士林區,計,1675,952,723
109,1,大同區,女,424,249,175
109,1,大同區,男,308,163,145
109,1,大同區,計,732,412,320
109,1,大安區,女,658,346,312
109,1,大安區,男,480,277,203
109,1,大安區,計,1138,623,515
109,1,文山區,女,1262,674,588
109,1,文山區,男,953,529,424
109,1,文山區,計,2215,1203,1012
109,1,松山區,女,546,304,242
109,1,松山區,男,391,220,171
109,1,松山區,計,937,524,413
109,1,總計,女,9806,5623,4183
109,1,總計,男,7222,4361,2861
109,1,總計,計,17028,9984,7044
109,1,萬華區,女,817,422,395
109,1,萬華區,男,602,319,283
109,1,萬華區,計,1419,741,678
109,2,中山區,女,867,468,399
109,2,中山區,男,575,330,245
109,2,中山區,計,1442,798,644
109,2,中正區,女,401,229,172
109,2,中正區,男,339,210,129
109,2,中正區,計,740,439,301
109,2,信義區,女,673,361,312
109,2,信義區,男,446,254,192
109,2,信義區,計,1119,615,504
109,2,內湖區,女,1413,911,502
109,2,內湖區,男,1070,731,339
109,2,內湖區,計,2483,1642,841
109,2,北投區,女,957,548,409
109,2,北投區,男,701,439,262
109,2,北投區,計,1658,987,671
109,2,南港區,女,804,553,251
109,2,南港區,男,662,488,174
109,2,南港區,計,1466,1041,425
109,2,士林區,女,979,553,426
109,2,士林區,男,687,395,292
109,2,士林區,計,1666,948,718
109,2,大同區,女,429,250,179
109,2,大同區,男,309,164,145
109,2,大同區,計,738,414,324
109,2,大安區,女,660,346,314
109,2,大安區,男,482,277,205
109,2,大安區,計,1142,623,519
109,2,文山區,女,1266,672,594
109,2,文山區,男,955,530,425
109,2,文山區,計,2221,1202,1019
109,2,松山區,女,550,306,244
109,2,松山區,男,391,219,172
109,2,松山區,計,941,525,416
109,2,總計,女,9822,5625,4197
109,2,總計,男,7223,4359,2864
109,2,總計,計,17045,9984,7061
109,2,萬華區,女,823,428,395
109,2,萬華區,男,606,322,284
109,2,萬華區,計,1429,750,679
109,3,中山區,女,863,459,404
109,3,中山區,男,570,327,243
109,3,中山區,計,1433,786,647
109,3,中正區,女,395,227,168
109,3,中正區,男,342,213,129
109,3,中正區,計,737,440,297
109,3,信義區,女,670,363,307
109,3,信義區,男,443,253,190
109,3,信義區,計,1113,616,497
109,3,內湖區,女,1418,918,500
109,3,內湖區,男,1067,731,336
109,3,內湖區,計,2485,1649,836
109,3,北投區,女,959,550,409
109,3,北投區,男,701,438,263
109,3,北投區,計,1660,988,672
109,3,南港區,女,813,553,260
109,3,南港區,男,667,486,181
109,3,南港區,計,1480,1039,441
109,3,士林區,女,975,551,424
109,3,士林區,男,686,396,290
109,3,士林區,計,1661,947,714
109,3,大同區,女,424,247,177
109,3,大同區,男,308,164,144
