年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
111年1月,總計,計,17038,9919,7119
111年1月,總計,男,7295,4373,2922
111年1月,總計,女,9743,5546,4197
111年1月,松山區,計,940,520,420
111年1月,松山區,男,390,218,172
111年1月,松山區,女,550,302,248
111年1月,信義區,計,1100,606,494
111年1月,信義區,男,446,253,193
111年1月,信義區,女,654,353,301
111年1月,大安區,計,1126,601,525
111年1月,大安區,男,475,267,208
111年1月,大安區,女,651,334,317
111年1月,中山區,計,1391,758,633
111年1月,中山區,男,558,325,233
111年1月,中山區,女,833,433,400
111年1月,中正區,計,768,445,323
111年1月,中正區,男,344,213,131
111年1月,中正區,女,424,232,192
111年1月,大同區,計,766,413,353
111年1月,大同區,男,349,190,159
111年1月,大同區,女,417,223,194
111年1月,萬華區,計,1398,746,652
111年1月,萬華區,男,598,324,274
111年1月,萬華區,女,800,422,378
111年1月,文山區,計,2199,1191,1008
111年1月,文山區,男,965,517,448
111年1月,文山區,女,1234,674,560
111年1月,南港區,計,1487,1038,449
111年1月,南港區,男,657,469,188
111年1月,南港區,女,830,569,261
111年1月,內湖區,計,2460,1616,844
111年1月,內湖區,男,1047,711,336
111年1月,內湖區,女,1413,905,508
111年1月,士林區,計,1708,974,734
111年1月,士林區,男,734,431,303
111年1月,士林區,女,974,543,431
111年1月,北投區,計,1695,1011,684
111年1月,北投區,男,732,455,277
111年1月,北投區,女,963,556,407
111年2月,總計,計,17012,9910,7102
111年2月,總計,男,7289,4379,2910
111年2月,總計,女,9723,5531,4192
111年2月,松山區,計,935,516,419
111年2月,松山區,男,387,216,171
111年2月,松山區,女,548,300,248
111年2月,信義區,計,1099,604,495
111年2月,信義區,男,445,252,193
111年2月,信義區,女,654,352,302
111年2月,大安區,計,1128,603,525
111年2月,大安區,男,479,270,209
111年2月,大安區,女,649,333,316
111年2月,中山區,計,1387,755,632
111年2月,中山區,男,559,326,233
111年2月,中山區,女,828,429,399
111年2月,中正區,計,762,442,320
111年2月,中正區,男,341,209,132
111年2月,中正區,女,421,233,188
111年2月,大同區,計,770,411,359
111年2月,大同區,男,349,188,161
111年2月,大同區,女,421,223,198
111年2月,萬華區,計,1394,749,645
111年2月,萬華區,男,598,329,269
111年2月,萬華區,女,796,420,376
111年2月,文山區,計,2188,1189,999
111年2月,文山區,男,959,517,442
111年2月,文山區,女,1229,672,557
111年2月,南港區,計,1485,1038,447
111年2月,南港區,男,656,469,187
111年2月,南港區,女,829,569,260
111年2月,內湖區,計,2463,1622,841
111年2月,內湖區,男,1049,715,334
111年2月,內湖區,女,1414,907,507
111年2月,士林區,計,1714,979,735
111年2月,士林區,男,735,433,302
111年2月,士林區,女,979,546,433
111年2月,北投區,計,1687,1002,685
111年2月,北投區,男,732,455,277
111年2月,北投區,女,955,547,408
111年3月,總計,計,16986,9905,7081
111年3月,總計,男,7271,4369,2902
111年3月,總計,女,9715,5536,4179
111年3月,松山區,計,928,513,415
111年3月,松山區,男,383,214,169
111年3月,松山區,女,545,299,246
111年3月,信義區,計,1095,601,494
111年3月,信義區,男,443,250,193
111年3月,信義區,女,652,351,301
111年3月,大安區,計,1126,604,522
111年3月,大安區,男,479,270,209
111年3月,大安區,女,647,334,313
111年3月,中山區,計,1390,755,635
111年3月,中山區,男,561,328,233
111年3月,中山區,女,829,427,402
111年3月,中正區,計,759,444,315
111年3月,中正區,男,344,211,133
111年3月,中正區,女,415,233,182
111年3月,大同區,計,768,405,363
111年3月,大同區,男,347,185,162
111年3月,大同區,女,421,220,201
111年3月,萬華區,計,1394,747,647
111年3月,萬華區,男,600,328,272
111年3月,萬華區,女,794,419,375
111年3月,文山區,計,2173,1183,990
111年3月,文山區,男,949,510,439
111年3月,文山區,女,1224,673,551
111年3月,南港區,計,1482,1038,444
111年3月,南港區,男,653,468,185
111年3月,南港區,女,829,570,259
111年3月,內湖區,計,2484,1637,847
111年3月,內湖區,男,1056,723,333
111年3月,內湖區,女,1428,914,514
111年3月,士林區,計,1706,974,732
111年3月,士林區,男,731,429,302
111年3月,士林區,女,975,545,430
111年3月,北投區,計,1681,1004,677
111年3月,北投區,男,725,453,272
111年3月,北投區,女,956,551,405
111年4月,總計,計,16962,9886,7076
111年4月,總計,男,7278,4370,2908
111年4月,總計,女,9684,5516,4168
