itemvalue1,itemvalue2,itemvalue3,itemvalue4,itemvalue5,itemvalue6,itemvalue7,itemvalue8,itemvalue9,itemvalue10,itemvalue11,itemvalue12,itemvalue13,itemvalue14,itemvalue15,itemvalue16,itemvalue17,itemvalue18,itemvalue19,itemvalue20,itemvalue21,itemvalue22
2003," 新北市"," 計",36030,11627,3269,1118,1019,149,315,80,126,42,14,57,-,-,-,-,-,8,18206
2003," 新北市"," 男",17216,5643,1455,483,406,60,148,35,56,16,7,34,-,-,-,-,-,3,8870
2003," 新北市"," 女",18814,5984,1814,635,613,89,167,45,70,26,7,23,-,-,-,-,-,5,9336
2003," 板橋區"," 計",2549,753,137,84,69,3,34,8,4,5,3,7,-,-,-,-,-,0,1442
2003," 板橋區"," 男",1115,343,50,32,24,1,13,4,3,2,1,5,-,-,-,-,-,0,637
2003," 板橋區"," 女",1434,410,87,52,45,2,21,4,1,3,2,2,-,-,-,-,-,0,805
2003," 三重區"," 計",1187,278,76,59,36,3,25,5,5,5,6,2,-,-,-,-,-,0,687
2003," 三重區"," 男",492,117,24,23,11,2,15,1,2,3,5,1,-,-,-,-,-,0,288
2003," 三重區"," 女",695,161,52,36,25,1,10,4,3,2,1,1,-,-,-,-,-,0,399
2003," 中和區"," 計",1711,591,221,65,57,11,31,7,11,4,0,0,-,-,-,-,-,0,713
2003," 中和區"," 男",741,282,77,28,22,3,16,3,4,1,0,0,-,-,-,-,-,0,305
2003," 中和區"," 女",970,309,144,37,35,8,15,4,7,3,0,0,-,-,-,-,-,0,408
2003," 永和區"," 計",538,77,50,25,11,0,8,2,8,1,3,0,-,-,-,-,-,0,353
2003," 永和區"," 男",213,33,10,8,3,0,5,0,4,0,1,0,-,-,-,-,-,0,149
2003," 永和區"," 女",325,44,40,17,8,0,3,2,4,1,2,0,-,-,-,-,-,0,204
2003," 新莊區"," 計",3473,1146,205,247,131,26,46,8,33,4,1,6,-,-,-,-,-,0,1620
2003," 新莊區"," 男",1639,541,81,115,56,13,21,2,17,2,0,3,-,-,-,-,-,0,788
2003," 新莊區"," 女",1834,605,124,132,75,13,25,6,16,2,1,3,-,-,-,-,-,0,832
2003," 新店區"," 計",2358,252,133,27,11,0,5,3,4,0,0,2,-,-,-,-,-,0,1921
2003," 新店區"," 男",1117,104,54,13,3,0,3,2,1,0,0,1,-,-,-,-,-,0,936
2003," 新店區"," 女",1241,148,79,14,8,0,2,1,3,0,0,1,-,-,-,-,-,0,985
2003," 樹林區"," 計",4540,1426,99,90,130,9,48,0,20,0,1,14,-,-,-,-,-,4,2699
2003," 樹林區"," 男",2246,674,43,46,47,2,28,0,12,0,0,6,-,-,-,-,-,0,1388
2003," 樹林區"," 女",2294,752,56,44,83,7,20,0,8,0,1,8,-,-,-,-,-,4,1311
2003," 鶯歌區"," 計",1724,467,100,41,27,12,4,5,3,5,0,2,-,-,-,-,-,0,1015
2003," 鶯歌區"," 男",872,254,55,18,27,5,1,1,0,3,0,1,-,-,-,-,-,0,507
2003," 鶯歌區"," 女",852,213,45,23,43,7,3,4,3,2,0,1,-,-,-,-,-,0,508
2003," 三峽區"," 計",1360,507,84,35,24,1,3,5,6,2,0,4,-,-,-,-,-,0,689
2003," 三峽區"," 男",665,247,34,13,10,0,1,1,5,0,0,3,-,-,-,-,-,0,351
2003," 三峽區"," 女",695,260,50,22,14,1,2,4,1,2,0,1,-,-,-,-,-,0,338
2003," 淡水區"," 計",948,409,89,44,163,8,12,0,3,0,0,8,-,-,-,-,-,0,212
2003," 淡水區"," 男",445,210,35,17,70,5,7,0,0,0,0,6,-,-,-,-,-,0,95
2003," 淡水區"," 女",503,199,54,27,93,3,5,0,3,0,0,2,-,-,-,-,-,0,117
2003," 汐止區"," 計",3206,1614,88,43,51,5,13,5,6,2,0,0,-,-,-,-,-,0,1379
2003," 汐止區"," 男",1591,805,33,17,22,1,7,4,2,0,0,0,-,-,-,-,-,0,700
2003," 汐止區"," 女",1615,809,55,26,29,4,6,1,4,2,0,0,-,-,-,-,-,0,679
2003," 瑞芳區"," 計",1160,770,18,10,6,1,8,0,4,1,0,0,-,-,-,-,-,0,342
2003," 瑞芳區"," 男",593,411,4,2,1,1,1,0,1,0,0,0,-,-,-,-,-,0,172
2003," 瑞芳區"," 女",567,359,14,8,5,0,7,0,3,1,0,0,-,-,-,-,-,0,170
2003," 土城區"," 計",3601,1782,184,100,108,17,25,13,6,7,0,3,-,-,-,-,-,4,1352
2003," 土城區"," 男",1761,871,75,47,53,6,8,10,2,3,0,1,-,-,-,-,-,3,682
2003," 土城區"," 女",1840,911,109,53,55,11,17,3,4,4,0,2,-,-,-,-,-,1,670
2003," 蘆洲區"," 計",1409,315,64,33,14,1,13,5,0,2,0,0,-,-,-,-,-,0,962
2003," 蘆洲區"," 男",675,136,26,16,6,1,5,1,0,0,0,0,-,-,-,-,-,0,484
2003," 蘆洲區"," 女",734,179,38,17,8,0,8,4,0,2,0,0,-,-,-,-,-,0,478
