itemvalue1,itemvalue2,itemvalue3,itemvalue4,itemvalue5,itemvalue6,itemvalue7,itemvalue8,itemvalue9,itemvalue10,itemvalue11,itemvalue12,itemvalue13,itemvalue14,itemvalue15
2004," 計",62304,42233,38502,3731,20071,11033,2824,2218,984,425,400,212,1975
2004," 男",6514,4298,2423,1875,2216,-,-,-,-,-,-,-,-
2004," 女",55790,37935,36079,1856,17855,-,-,-,-,-,-,-,-
2005," 計",68665,46053,42159,3894,22612,12254,3099,2904,1051,435,426,218,2225
2005," 男",7088,4483,2539,1944,2605,-,-,-,-,-,-,-,-
2005," 女",61577,41570,39620,1950,20007,-,-,-,-,-,-,-,-
2006," 計",73136,50263,46051,4212,22873,12588,3109,2574,1078,440,465,226,2393
2006," 男",7264,4725,2659,2066,2539,41,79,928,108,1,210,44,1128
2006," 女",65872,45538,43392,2146,20334,12547,3030,1646,970,439,255,182,1265
2007," 計",76007,52974,48683,4291,23033,12967,3027,2230,1082,442,505,229,2551
2007," 男",7314,4826,2739,2087,2488,37,79,788,106,1,223,49,1205
2007," 女",68693,48148,45944,2204,20545,12930,2948,1442,976,441,282,180,1346
2008," 計",78775,55479,51142,4337,23296,13470,3034,1683,1104,442,553,242,2768
2008," 男",7314,4940,2831,2109,2374,42,73,519,103,1,238,61,1337
2008," 女",71461,50539,48311,2228,20922,13428,2961,1164,1001,441,315,181,1431
2009," 計",81721,57732,53327,4405,23989,13865,3086,1539,1164,436,572,250,3077
2009," 男",7603,5066,2937,2129,2537,54,82,458,108,0,260,61,1514
2009," 女",74118,52666,50390,2276,21452,13811,3004,1081,1056,436,312,189,1563
2010," 計",84798,60191,55693,4498,24607,14209,3179,1473,1184,434,587,256,3285
2010," 男",7990,5278,3112,2166,2712,66,90,427,110,0,286,71,1662
2010," 女",76808,54913,52581,2332,21895,14143,3089,1046,1074,434,301,185,1623
2011," 計",88245,62586,57997,4589,25659,14652,3254,1589,1245,442,685,284,3508
2011," 男",8417,5485,3280,2205,2932,77,94,454,121,0,330,73,1783
2011," 女",79828,57101,54717,2384,22727,14575,3160,1135,1124,442,355,211,1725
2012," 計",90995,64842,60171,4671,26153,14902,3306,1579,1281,435,732,281,3637
2012," 男",8752,5712,3469,2243,3040,88,96,448,124,0,354,75,1855
2012," 女",82243,59130,56702,2428,23113,14814,3210,1131,1157,435,378,206,1782
2013," 計",93500,66904,62131,4773,26596,15152,3352,1563,1295,428,753,286,3767
2013," 男",9081,5930,3654,2276,3151,103,103,433,127,0,366,77,1942
2013," 女",84419,60974,58477,2497,23445,15049,3249,1130,1168,428,387,209,1825
2014," 計",95619,68011,63132,4879,27608,15560,3426,1586,1345,432,828,314,4117
2014," 男",9595,6080,3766,2314,3515,123,117,438,143,0,401,99,2194
2014," 女",86024,61931,59366,2565,24093,15437,3309,1148,1202,432,427,215,1923
2015," 計",98912,70176,65125,5051,28736,16123,3513,1595,1410,433,888,360,4414
2015," 男",10122,6368,3993,2375,3754,166,123,426,143,0,426,121,2349
2015," 女",88790,63808,61132,2676,24982,15957,3390,1169,1267,433,462,239,2065
2016,計,101250,71505,66314,5191,29745,16728,3578,1617,1448,433,920,396,4625
2016,男,10503,6567,4147,2420,3936,217,125,423,148,0,427,140,2456
2016,女,90747,64938,62167,2771,25809,16511,3453,1194,1300,433,493,256,2169
2017,計,103180,72332,66916,5416,30848,17412,3639,1602,1495,436,957,430,4877
2017,男,10903,6686,4184,2502,4217,288,131,424,158,0,444,159,2613
2017,女,92277,65646,62732,2914,26631,17124,3508,1178,1337,436,513,271,2264
2018,計,105985,73524,67949,5575,32461,18395,3746,1643,1603,443,995,464,5172
2018,男,11360,6878,4324,2554,4482,361,148,416,170,1,451,169,2766
2018,女,94625,66646,63625,3021,27979,18034,3598,1227,1433,442,544,295,2406
2019,計,108428,74747,68930,5817,33681,19073,3843,1698,1658,449,1050,484,5426
2019,男,11926,7208,4552,2656,4718,422,150,425,181,1,458,170,2911
2019,女,96502,67539,64378,3161,28963,18651,3693,1273,1477,448,592,314,2515
2020,計,110108,75443,69287,6156,34665,19405,3912,1740,1695,453,1118,533,5809
2020,男,12642,7498,4628,2870,5144,474,157,433,189,1,474,196,3220
2020,女,97466,67945,64659,3286,29521,18931,3755,1307,1506,452,644,337,2589
2021,計,111032,75769,69388,6381,35263,19543,3955,1783,1692,456,1181,569,6084
2021,男,13044,7671,4679,2992,5373,479,163,445,188,1,494,202,3401
2021,女,97988,68098,64709,3389,29890,19064,3792,1338,1504,455,687,367,2683
2022,計,112720,76750,70163,6587,35970,19770,4024,1837,1709,455,1219,575,6381
2022,男,13603,7934,4856,3078,5669,546,175,459,185,1,511,218,3574
2022,女,99117,68816,65307,3509,30301,19224,3849,1378,1524,454,708,357,2807
2023,計,115873,78554,71665,6889,37319,20396,4116,1891,1784,457,1248,599,6828
2023,男,14497,8471,5265,3206,6026,632,173,464,195,1,514,233,3814
2023,女,101376,70083,66400,3683,31293,19764,3943,1427,1589,456,734,366,3014
