field1,"item value2","item value3","item value4","item value5","item value6","item value7","item value8","item value9","item value10","item value11","item value12","item value13","item value14","item value15"
2006,-,-,14897,3.34,27404,5.35,509,0.79,0.98,98.23,1501,1,0.27,98.67
2007,-,-,15669,4.6,29094,7.71,729,0.69,0,99.18,2266,0,0.09,99.56
2008,18188,32850,18747,5.34,32151,9.46,1008,2.68,0.1,96.83,3057,1,0.13,99.02
2009,16155,33314,15721,1.55,28375,1.92,251,3.98,0,95.22,554,5,1.99,92.06
2010,17426,36221,15370,0.71,29369,0.51,110,9.09,0,89.09,152,15.79,3.29,78.29
2011,20710,39926,17231,0.92,31544,0.41,164,10.37,1.22,79.27,132,18.94,3.03,65.91
2012,21842,41292,19206,1.85,33968,0.83,367,3.27,0,94.55,289,14.19,0.69,80.28
2013,25268,44435,20710,1.44,36485,0.73,305,15.41,0,84.26,269,26.02,1.49,72.12
2014,29570,48530,23410,1.04,38101,0.5,242,11.98,0.41,87.19,195,18.97,1.03,79.49
2015,32354,50899,27966,0.99,43594,0.45,284,15.14,0.35,84.51,206,31.07,1.94,66.99
2016,34304,54409,29400,0.89,45410,0.38,261,15.33,1.15,83.52,173,34.1,1.73,64.16
2017,36620,57977,31846,0.95,48100,0.45,280,5.71,0.71,93.57,173,24.28,3.47,72.83
2018,37676,60863,33367,0.72,50526,0.35,227,4.41,2.2,93.39,152,20.39,5.26,75
2019,37092,61811,34857,0.78,53359,0.35,258,8.91,1.94,89.15,144,15.97,4.86,79.17
2020,36395,59730,33086,0.49,53457,0.37,145,8.28,3.45,88.28,135,34.81,5.93,59.26
2021,34357,53590,31768,0.63,48498,0.36,180,9.44,5,86.11,111,43.24,2.7,54.05
2022,38916,54558,31199,0.57,45206,0.3,165,7.8787878788,6.6666666667,85.4545454545,87,22.9885057471,9.1954022989,67.816091954
2023,40372,56791,35169,0.43,48328,0.25,137,14.598540146,2.1897810219,82.4817518248,71,21.1267605634,14.0845070423,64.7887323944
