年度,總計人數,印尼/人,菲律賓/人,泰國/人,越南/人,其他國籍/人,行業,看護工/人,家庭幫傭,農/林/漁/牧業/船員,製造業,營造業,白領有效聘僱許可人數
104,43827,32608,6699,1592,2926,2,,39239,767,97,859,2865,13377
105,45168,33214,7054,1497,3402,1,,40758,715,73,981,2641,13711
106,45936,33993,7379,783,3781,0,,42493,736,85,1146,1476,13681
107,46550,34455,7449,861,3829,0,,43302,718,108,1196,1270,13777
108,46999,34825,7270,1278,3625,1,,43443,645,126,1062,1723,13596
109,45153,33117,6760,1539,3736,1,,41496,589,133,1025,1910,15096
110,39762,29542,6132,727,3360,1,,37410,512,104,931,805,15977
111,39622,28606,6547,910,3559,0,,36542,520,114,1089,1357,16499
112,40729,29965,6275,881,3608,0,,37081,623,156,1158,1708,17376
113,39085,28675,5153,1904,3353,0,,32651,556,110,1203,4565,18212
