機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
(基隆市)北台灣無障礙運輸產業工會,BA0200042,BA,新北市,中和區,新北市中和區連勝街159號5樓,121.4942245483,24.9965553284,B,社區式交通接送服務(BD03);交通接送服務(DA01)
(新北)全心居家護理所,B10200111,B1,新北市,三重區,新北市三重區重新路二段21號12樓1218室,121.4980392456,25.0624084473,B,專業照護服務
(新北)如己居家護理所,B10200112,B1,新北市,三重區,新北市三重區福德北路12號5樓,121.5022659302,25.064453125,B,專業照護服務
(新北)惠群護理之家,A30200122,A3,新北市,板橋區,新北市板橋區四川路一段159號1-7樓,121.4600524902,25.0040225983,B,喘息服務
(新北)祝三實業股份有限公司,BA0200014,BA,新北市,板橋區,新北市板橋區遠東路1號5樓B室,121.4575424194,24.9988594055,B,交通接送服務
(新北)財團法人老五老基金會,BD0200004,BD,新北市,石碇區,新北市石碇區楓子林32-1號3樓,121.661857605,25.0745601654,B,營養餐飲服務
(桃園特約)鐵牛居家職能治療所,B20200182,B2,新北市,三峽區,新北市三峽區中山路127號11樓之5,121.3653564453,24.93592453,B,專業照護服務;專業照護服務(CC01)
(臺北市)北台灣無障礙運輸產業工會,BA0200026,BA,新北市,中和區,新北市中和區連勝街159號5樓,121.4942245483,24.9965553284,B,交通接送服務(DA01)
一斗長期照護股份有限公司附設新北市私立一斗居家長照機構,1R0200078,1,新北市,板橋區,新北市板橋區三民路二段33號14樓(A02室),121.4794158936,25.0176620483,B,喘息服務;居家服務
丁良文內科診所,B20200179,B2,新北市,蘆洲區,新北市蘆洲區長安街3號1樓,121.4644699097,25.078754425,B,居家失能個案家庭醫師照護服務
三合利計程車客運服務有限公司,BA0200027,BA,新北市,永和區,新北市永和區中正路700號8樓之一,121.5163726807,25.0099277496,B,交通接送服務
三和護理之家,A30200071,A3,新北市,三重區,新北市三重區三和路四段103之2號4、6、7樓,121.4868164062,25.0767879486,B,喘息服務
三峽區龍恩里辦公處(社照C),BG0200037,BG,新北市,三峽區,新北市三峽區龍恩里學成路396號4樓,121.3747024536,24.9413051605,C,巷弄長照站
三木居家長照有限公司附設新北市私立三木居家長照機構,1R0200064,1,新北市,永和區,新北市永和區中山路一段24號2樓(A05室),121.5138397217,25.0106086731,B,居家服務;喘息服務
三芝區三和社區照顧關懷據點(社照C),BF0200051,BF,新北市,三芝區,新北市三芝區新庄里新庄里番社后3-1號,121.5018234253,25.2671985626,C,巷弄長照站
