機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目,特約縣市,特約區域,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
財團法人伊甸社會福利基金會,BD0100001,BD,臺北市,文山區,臺北市文山區萬芳里萬美街一段55號3樓,121.5681152344,25.0023422241,A,個案管理服務,臺北市,北投區,02-22307715,eden8378@eden.org.tw,羅紀琼,20250101.0,20261231.0,20241231 19:57:41
財團法人伊甸社會福利基金會,BD0100001,BD,臺北市,文山區,臺北市文山區萬芳里萬美街一段55號3樓,121.5681152344,25.0023422241,A,個案管理服務,臺北市,北投區,02-22307715,eden8378@eden.org.tw,羅紀琼,20230101.0,20241231.0,20230208 09:04:01
健樂福生活事業股份有限公司,BF0100001,BF,臺北市,大安區,臺北市大安區民炤里仁愛路三段30號,121.5366973877,25.037612915,B,輔具及居家無障礙環境服務,高雄市,鹽埕區;鼓山區;左營區;楠梓區;三民區;新興區;前金區;苓雅區;前鎮區;旗津區;小港區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區;岡山區;橋頭區;燕巢區;田寮區;阿蓮區;路竹區;湖內區;茄萣區;永安區;彌陀區;梓官區;旗山區;美濃區;六龜區;甲仙區;杉林區;內門區;茂林區;桃源區;那瑪夏區,02-77462328,,楊恆碩,,,20190417 00:00:00
財團法人弘道老人福利基金會附設臺北市私立弘道居家式服務類長期照顧服務機構,1S0100002,1,臺北市,松山區,臺北市松山區民福里復興北路451號,121.5444793701,25.0639839172,B,居家服務,臺北市,松山區,02-66131314,yvonne@hondao.org.tw,王乃弘,20240101.0,20261231.0,20231229 18:46:12
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,1N0100001,1,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,121.5344238281,25.0241832733,B,居家服務,臺北市,松山區;大安區;中正區;萬華區;文山區;南港區;內湖區;北投區,02-23637794,rct@seed.net.tw,董光世,20240101.0,20241231.0,20231229 11:23:03
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,1N0100001,1,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,121.5344238281,25.0241832733,A,個案管理服務,臺北市,大安區,02-23637794,rct@seed.net.tw,董光世,20250101.0,20261231.0,20241231 19:54:21
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構（日間照顧）,2S0100002,2,臺北市,松山區,臺北市松山區三民里松山民生東路五段163之1號,121.5627670288,25.0590858459,B,喘息服務,臺北市,松山區;信義區;大安區;中山區;中正區;大同區;萬華區;文山區;南港區;內湖區;士林區;北投區,02-27609605,eden3779@eden.org.tw,陳宇昭,20210927.0,20241231.0,20221229 22:27:05
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構（日間照顧）,2S0100002,2,臺北市,松山區,臺北市松山區三民里松山民生東路五段163之1號,121.5627670288,25.0590858459,B,喘息服務,臺北市,松山區;信義區;大安區;中山區;中正區;大同區;萬華區;文山區;南港區;內湖區;士林區;北投區,02-27609605,eden3779@eden.org.tw,陳宇昭,20250101.0,20261231.0,20250204 14:59:56
中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,1V0100002,1,臺北市,士林區,臺北市士林區舊佳里中山北路5段699巷1號1樓,121.5269546509,25.0976734161,B,喘息服務,臺北市,松山區;信義區;大安區;中山區;中正區;大同區;萬華區;文山區;南港區;內湖區;士林區;北投區,02-27970880#208,rainbow@ccpc.com.tw,王謝怡貞,20250101.0,20261231.0,20241122 15:15:05
中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,1V0100002,1,臺北市,士林區,臺北市士林區舊佳里中山北路5段699巷1號1樓,121.5269546509,25.0976734161,B,喘息服務,桃園市,桃園區,02-27970880#208,rainbow@ccpc.com.tw,王謝怡貞,20210118.0,20221231.0,20230214 13:56:13
