機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目,特約縣市,特約區域,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,1,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687256,22.6245326996,B,居家服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區,07-7902007,Ksred830@gmail.com,李宗銘,20210401,20221231,20210501 14:17:43
社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構,1R1500007,1,高雄市,岡山區,高雄市岡山區竹圍里竹圍北街132巷17-1號2樓,120.3042984009,22.8016681671,B,喘息服務,高雄市,岡山區;橋頭區;燕巢區;田寮區;阿蓮區;路竹區;湖內區;永安區;彌陀區;梓官區,07-6216881,36964598iseeyou@gmail.com,謝彥緯,20210401,20240630,20231230 15:19:30
社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構,1R1500007,1,高雄市,岡山區,高雄市岡山區竹圍里竹圍北街132巷17-1號2樓,120.3042984009,22.8016681671,B,居家服務,高雄市,岡山區;橋頭區;田寮區;阿蓮區;路竹區;湖內區;永安區;彌陀區;梓官區,07-6216881,36964598iseeyou@gmail.com,謝彥緯,20240701,20261231,20240630 15:32:22
社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構,1R1500007,1,高雄市,岡山區,高雄市岡山區竹圍里竹圍北街132巷17-1號2樓,120.3042984009,22.8016681671,B,喘息服務,高雄市,岡山區;橋頭區;田寮區;阿蓮區;路竹區;湖內區;永安區;彌陀區;梓官區,07-6216881,36964598iseeyou@gmail.com,謝彥緯,20240701,20261231,20240630 15:33:05
財團法人高雄市慈聯社會福利基金會附設高雄市私立慈聯居家式服務類長期照顧服務機構,1S1500003,1,高雄市,仁武區,高雄市仁武區灣內里仁雄路42之1號,120.3506469727,22.6807060242,B,喘息服務,高雄市,三民區;苓雅區;鳳山區;大寮區;大樹區;大社區;仁武區;鳥松區;梓官區,07-3715009,3715009h@gmail.com,蔡嘉賓,20240701,20261231,20240630 16:05:25
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁居家式服務類長期照顧服務機構,1S1500007,1,高雄市,湖內區,高雄市湖內區大湖里長壽路65巷6弄1號,120.244102478,22.8846435547,B,喘息服務,高雄市,岡山區;橋頭區;阿蓮區;路竹區;湖內區;茄萣區;彌陀區;梓官區,07-6932382,hawren6932@gmail.com,高華志,20210401,20240630,20231230 15:51:29
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁居家式服務類長期照顧服務機構,1S1500007,1,高雄市,湖內區,高雄市湖內區大湖里長壽路65巷6弄1號,120.244102478,22.8846435547,B,居家服務,高雄市,大樹區;岡山區;橋頭區;田寮區;阿蓮區;路竹區;湖內區;茄萣區;永安區;彌陀區;梓官區,07-6932382,hawren6932@gmail.com,高華志,20210401,20221231,20210501 14:05:29
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,1,高雄市,楠梓區,高雄市楠梓區清豐里立仁街131號3樓,120.3354644775,22.7409648895,B,居家服務,高雄市,左營區;楠梓區;三民區;苓雅區;前鎮區;鳳山區;大社區;仁武區;鳥松區;橋頭區;燕巢區;梓官區,07-3539619#25,chongen020401001@gmail.com,龔明聰,20230101,20240630,20231219 10:45:03
佑欣居家照顧有限公司附設高雄市私立佑欣居家長照機構,1V1500001,1,高雄市,岡山區,高雄市岡山區忠孝里勵志二路38號,120.2948608398,22.7886505127,B,居家服務,高雄市,左營區;楠梓區;岡山區;橋頭區;阿蓮區;路竹區;永安區;彌陀區;梓官區,07-6228880,yourscare2018@gmail.com,陳俊雄,20230101,20240630,20231218 14:38:04
佑欣居家照顧有限公司附設高雄市私立佑欣居家長照機構,1V1500001,1,高雄市,岡山區,高雄市岡山區忠孝里勵志二路38號,120.2948608398,22.7886505127,B,居家服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;鳳山區;仁武區;岡山區;橋頭區;阿蓮區;路竹區;永安區;彌陀區;梓官區,07-6228880,yourscare2018@gmail.com,陳俊雄,20240701,20261231,20240625 17:56:38
高雄市私立臨海居家式服務類長期照顧服務機構,1X1500003,1,高雄市,小港區,高雄市小港區宏亮里學府路30號2樓,120.3690109253,22.5671005249,B,居家服務,高雄市,鹽埕區;鼓山區;左營區;三民區;新興區;前金區;苓雅區;前鎮區;旗津區;小港區;鳳山區;林園區;大寮區,07-8060248#2215(業負),linhaihomecare@gmail.com,邱裕恩,20230101,20240630,20231219 10:09:15
高雄市私立臨海居家式服務類長期照顧服務機構,1X1500003,1,高雄市,小港區,高雄市小港區宏亮里學府路30號2樓,120.3690109253,22.5671005249,B,居家服務,高雄市,鹽埕區;鼓山區;左營區;三民區;新興區;前金區;苓雅區;前鎮區;旗津區;小港區;鳳山區;林園區;大寮區,07-8060248#2215(業負),linhaihomecare@gmail.com,邱裕恩,20240701,20261231,20240627 09:43:46
高雄市同愛社會福利關懷協會附設高雄市私立同愛居家式服務類長期照顧服務機構,1N1500001,1,高雄市,新興區,高雄市新興區復橫一路242號2樓,120.2963638306,22.6415157318,B,居家服務,高雄市,鹽埕區;鼓山區;左營區;楠梓區;三民區;新興區;前金區;苓雅區,07-2155211,3800951@gmail.com,覃馨儀,20210401,20221231,20210501 16:39:05
高雄市同愛社會福利關懷協會附設高雄市私立同愛居家式服務類長期照顧服務機構,1N1500001,1,高雄市,新興區,高雄市新興區復橫一路242號2樓,120.2963638306,22.6415157318,B,居家服務,高雄市,鹽埕區;鼓山區;左營區;楠梓區;三民區;新興區;前金區;苓雅區;前鎮區;鳳山區,07-2155211,3800951@gmail.com,覃馨儀,20240701,20261231,20240626 15:30:33
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,1,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687256,22.6245326996,B,喘息服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區,07-7902007,Ksred830@gmail.com,李宗銘,20240701,20261231,20240625 10:02:42
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,1,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687256,22.6245326996,B,喘息服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區,07-7902007,Ksred830@gmail.com,李宗銘,20230101,20240630,20231229 15:25:24
社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構,1R1500007,1,高雄市,岡山區,高雄市岡山區竹圍里竹圍北街132巷17-1號2樓,120.3042984009,22.8016681671,B,居家服務,高雄市,岡山區;橋頭區;燕巢區;田寮區;阿蓮區;路竹區;湖內區;永安區;彌陀區;梓官區,07-6216881,36964598iseeyou@gmail.com,謝彥緯,20210401,20221231,20210501 15:41:06
社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構,1R1500007,1,高雄市,岡山區,高雄市岡山區竹圍里竹圍北街132巷17-1號2樓,120.3042984009,22.8016681671,B,居家服務,高雄市,岡山區;橋頭區;燕巢區;田寮區;阿蓮區;路竹區;湖內區;永安區;彌陀區;梓官區,07-6216881,36964598iseeyou@gmail.com,謝彥緯,20230101,20240630,20231218 16:04:20
財團法人高雄市慈聯社會福利基金會附設高雄市私立慈聯居家式服務類長期照顧服務機構,1S1500003,1,高雄市,仁武區,高雄市仁武區灣內里仁雄路42之1號,120.3506469727,22.6807060242,B,居家服務,高雄市,三民區;鳳山區;大寮區;大樹區;大社區;仁武區;鳥松區,07-3715009,3715009h@gmail.com,蔡嘉賓,20210401,20221231,20210501 16:19:55
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁居家式服務類長期照顧服務機構,1S1500007,1,高雄市,湖內區,高雄市湖內區大湖里長壽路65巷6弄1號,120.244102478,22.8846435547,B,居家服務,高雄市,岡山區;橋頭區;路竹區;湖內區;茄萣區;彌陀區,07-6932382,hawren6932@gmail.com,高華志,20230101,20240630,20231218 16:31:47
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,1,高雄市,楠梓區,高雄市楠梓區清豐里立仁街131號3樓,120.3354644775,22.7409648895,B,居家服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;大社區;仁武區;鳥松區;岡山區;橋頭區;燕巢區;梓官區,07-3539619#25,chongen020401001@gmail.com,龔明聰,20240701,20261231,20240627 16:07:02
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,1,高雄市,楠梓區,高雄市楠梓區清豐里立仁街131號3樓,120.3354644775,22.7409648895,B,喘息服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;大社區;仁武區;鳥松區;岡山區;橋頭區;燕巢區;梓官區,07-3539619#25,chongen020401001@gmail.com,龔明聰,20240701,20261231,20240627 16:07:02
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,1,高雄市,楠梓區,高雄市楠梓區清豐里立仁街131號3樓,120.3354644775,22.7409648895,B,居家服務,高雄市,左營區;楠梓區;三民區;大社區;仁武區,07-3539619#25,chongen020401001@gmail.com,龔明聰,20210401,20240630,20231230 17:47:47
佑欣居家照顧有限公司附設高雄市私立佑欣居家長照機構,1V1500001,1,高雄市,岡山區,高雄市岡山區忠孝里勵志二路38號,120.2948608398,22.7886505127,C,巷弄長照站,高雄市,岡山區,07-6228880,yourscare2018@gmail.com,陳俊雄,20220501,20251231,20241111 11:25:22
高雄市同愛社會福利關懷協會附設高雄市私立同愛居家式服務類長期照顧服務機構,1N1500001,1,高雄市,新興區,高雄市新興區復橫一路242號2樓,120.2963638306,22.6415157318,B,居家服務,高雄市,鹽埕區;鼓山區;左營區;楠梓區;三民區;新興區;前金區;苓雅區;前鎮區;鳳山區,07-2155211,3800951@gmail.com,覃馨儀,20230101,20240630,20231218 16:36:49
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,1,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687256,22.6245326996,B,居家服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區,07-7902007,Ksred830@gmail.com,李宗銘,20240701,20261231,20240625 10:02:42
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,1,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687256,22.6245326996,B,居家服務,高雄市,鼓山區;左營區;楠梓區;三民區;苓雅區;前鎮區;小港區;鳳山區;林園區;大寮區;大樹區;大社區;仁武區;鳥松區,07-7902007,Ksred830@gmail.com,李宗銘,20230101,20240630,20231218 14:18:03
