年份,月份,性別,總計,阿美族數量,泰雅族數量,排灣族數量,布農族數量,魯凱族數量,卑南族數量,鄒族數量,賽夏族數量,雅美族數量,邵族數量,噶瑪蘭族數量,太魯閣族數量,撒奇萊雅族數量,賽德克族數量,拉阿魯哇族數量,卡那卡那富族數量,尚未申報
110,1,計,17106,8116,2984,1729,1125,248,514,175,190,52,24,42,938,31,251,1,1,685
110,1,男,7273,3586,1212,744,468,108,226,67,89,17,7,19,377,12,95,0,0,246
110,1,女,9833,4530,1772,985,657,140,288,108,101,35,17,23,561,19,156,1,1,439
110,2,計,17089,8103,2984,1725,1125,252,513,174,191,52,24,44,940,31,248,1,1,681
110,2,男,7265,3576,1215,740,466,110,227,67,89,17,7,20,378,12,95,0,0,246
110,2,女,9824,4527,1769,985,659,142,286,107,102,35,17,24,562,19,153,1,1,435
110,3,計,17074,8108,2994,1715,1120,250,512,170,191,51,23,44,939,31,248,1,1,676
110,3,男,7255,3571,1228,737,461,109,228,65,87,17,7,20,375,12,95,0,0,243
110,3,女,9819,4537,1766,978,659,141,284,105,104,34,16,24,564,19,153,1,1,433
110,4,計,17073,8102,2997,1721,1117,252,510,170,192,51,23,44,942,31,246,1,1,673
110,4,男,7250,3564,1228,743,460,109,227,65,87,17,7,20,377,12,93,0,0,241
110,4,女,9823,4538,1769,978,657,143,283,105,105,34,16,24,565,19,153,1,1,432
110,5,計,17073,8099,3002,1723,1116,251,510,170,192,51,23,43,948,31,246,1,1,666
110,5,男,7255,3564,1232,745,462,108,228,65,87,17,7,20,378,12,93,0,0,237
110,5,女,9818,4535,1770,978,654,143,282,105,105,34,16,23,570,19,153,1,1,429
110,6,計,17042,8075,3006,1721,1113,250,509,171,192,52,23,43,943,31,248,1,1,663
110,6,男,7252,3559,1235,751,459,108,227,65,87,17,7,20,374,12,94,0,0,237
110,6,女,9790,4516,1771,970,654,142,282,106,105,35,16,23,569,19,154,1,1,426
110,7,計,17044,8052,3007,1734,1116,250,508,171,193,53,24,46,946,31,249,1,2,661
110,7,男,7256,3546,1233,758,462,108,227,65,89,18,7,23,375,12,94,0,1,238
110,7,女,9788,4506,1774,976,654,142,281,106,104,35,17,23,571,19,155,1,1,423
110,8,計,17055,8066,3002,1733,1121,250,505,173,190,56,24,47,946,33,250,1,2,656
110,8,男,7273,3559,1230,760,467,108,226,65,89,19,7,23,374,14,96,0,1,235
110,8,女,9782,4507,1772,973,654,142,279,108,101,37,17,24,572,19,154,1,1,421
110,9,計,17054,8070,2996,1739,1126,248,501,174,189,56,24,48,941,35,254,1,2,650
110,9,男,7276,3564,1226,762,470,107,225,65,89,19,7,23,373,14,98,0,1,233
110,9,女,9778,4506,1770,977,656,141,276,109,100,37,17,25,568,21,156,1,1,417
110,10,計,17049,8064,3000,1740,1129,250,500,175,189,56,24,49,934,35,253,1,2,648
110,10,男,7280,3563,1227,761,473,108,225,65,89,19,7,24,374,14,97,0,1,233
110,10,女,9769,4501,1773,979,656,142,275,110,100,37,17,25,560,21,156,1,1,415
110,11,計,17061,8069,3007,1738,1127,251,501,174,191,56,24,49,934,35,252,1,2,650
110,11,男,7302,3577,1235,764,471,109,224,64,89,19,7,24,373,14,97,0,1,234
110,11,女,9759,4492,1772,974,656,142,277,110,102,37,17,25,561,21,155,1,1,416
110,12,計,17073,8084,3000,1737,1136,252,502,174,192,55,24,49,934,35,252,1,2,644
110,12,男,7311,3587,1232,763,477,109,224,64,89,19,7,24,372,14,95,0,1,234
110,12,女,9762,4497,1768,974,659,143,278,110,103,36,17,25,562,21,157,1,1,410
