name,district,address,category,location_desc
新北巿八里區衛生所,八里區,新北市八里區舊城路16號,其他,1樓侯診區
新北市八里區公所,八里區,新北市八里區八里大道18號,其他,行政大樓1F大廳
新北市政府環境保護局八里區清潔隊,八里區,新北市八里區博物館路10之1號,其他,餐廳
新北市私立聖心國民小學,八里區,新北市八里區龍米路一段261號,學校、大型集會場所,總務處門口
新北市立八里愛心教養院,八里區,新北市八里區華富山37號,其他,3樓保健組走廊備藥室旁
新北市立八里愛心教養院,八里區,新北市八里區華富山37號,其他,2F會計室門口
品元實業商港廠,八里區,新北市八里區商港五路99號,其他,辦公室入口
新北市八里區大崁老人活動中心,八里區,新北市八里區中山路一段21號,其他,新北市八里區大崁老人活動中心
新北市八里區下庄市民活動中心,八里區,新北市八里區舊城路19號4樓,其他,新北市八里區下庄市民活動中心
新北市八里區文化市民活動中心,八里區,新北市八里區中山路二段251號,其他,新北市八里區文化市民活動中心
新北市八里區龍米市民活動中心,八里區,新北市八里區龍米路一段223號,其他,活動中心
新北市八里區中庄市民活動中心,八里區,新北市八里區中山路一段109號,其他,新北市八里區中庄市民活動中心
新北市八里區大埤頂市民活動中心,八里區,新北市八里區中山路一段95號,其他,新北市八里區大埤頂市民活動中心
新北市八里區公所慈恩納骨塔,八里區,新北市八里區龍米路2段171巷1號,其他,入大廳左側樓梯間
新北市八里區米倉國民小學,八里區,新北市八里區龍米路2段129巷1號,學校、大型集會場所,米倉國民小學
新北市八里區米倉國民小學,八里區,新北市八里區龍米路2段129巷1號,學校、大型集會場所,禮堂門口
新北市私立聖心女子高級中學,八里區,新北市八里區龍米路一段263號,學校、大型集會場所,行政大樓
新北市私立聖心女子高級中學,八里區,新北市八里區龍米路一段263號,學校、大型集會場所,聖心樓一樓門口
新北市私立聖心國民小學,八里區,新北市八里區龍米路一段261號,學校、大型集會場所,善牧園園長室門口
新北市立十三行博物館,八里區,新北市八里區博物館路200號,大型休閒場所,十三行博物館考古公園遊客中心
