hosp_addr,latitude,longitude
新北市八里區舊城路16號,,
新北市八里區八里大道18號,,
新北市八里區博物館路10之1號,,
新北市八里區龍米路一段261號,,
新北市八里區華富山37號,,
新北市八里區商港五路99號,,
新北市八里區中山路一段21號,,
新北市八里區舊城路19號4樓,,
新北市八里區中山路二段251號,,
新北市八里區龍米路一段223號,,
新北市八里區中山路一段109號,,
新北市八里區中山路一段95號,,
新北市八里區龍米路2段171巷1號,,
新北市八里區龍米路2段129巷1號,,
新北市八里區龍米路一段263號,,
新北市八里區博物館路200號,,
新北市八里區下罟里中山路三段403號,,
新北市八里區新北市八里區訊塘里廈竹圍7之15號,,
新北市八里區中山路三段413號,,
新北市八里區中山路3段409號,,
新北市八里區商港路133號,,
新北市八里區商港路123號2樓,,
新北市八里區廈竹圍２３號,,
新北市八里區訊塘里7鄰下竹圍23號,,
新北市八里區下罟子63號,,
新北市八里區訊塘路37號,,
新北市八里區龍米路一段225號,,
新北市八里區長道坑36-3號,,
新北市八里區華富山35號,,
新北市八里區忠八街2號,,
新北市八里區下罟里中山路三段388之5號,,
新北市八里區觀海大道36號,,
新北市八里區 ,25.1456917,121.4035113
新北市八里區舊城里舊城路19號5、6樓,,
新北市八里區荖阡坑路15號,,
新北市八里區中華路三段236號,,
新北市八里區中山路2段338號,,
新北市八里區中山路一段175號,,
新北市三芝區淡金路一段38號,,
新北市三芝區中正路三段42號,,
新北市三芝區興華里車埕53-3號,,
新北市三芝區中山路一段12號,,
新北市三芝區埔頭段234地號 (原:新小基隆段埔頭坑小段68-2地號_整編),,
新北市三芝區中正路三段46號,,
新北市三芝區育英街22號,,
新北市三芝區埔頭里育英街27號,,
新北市三芝區后厝里北勢子45之32號,,
新北市三芝區民生街33號1樓,,
新北市三芝區興華里田心子5號,,
新北市三芝區圓山里石曹子坑32-4,,
新北市三芝區興華里車埕53-2號,,
新北市三芝區興華里田心子1號,,
新北市三芝區埔坪里埔頭坑164-2號,,
新北市三芝區橫山里86號,,
新北市三芝區 ,25.258047,121.500866
新北市三芝區埔頭里中山路一段38號,,
新北市三芝區中山路一段32號,,
新北市三芝區民生街31號4樓,,
新北市三重區重新路3段145號,,
新北市三重區大同南路157號,,
新北市三重區正義南路62號,,
新北市三重區集美街60號,,
新北市三重區重新路2段78號4樓,,
新北市三重區忠孝路三段89號,,
新北市三重區重陽路三段3號,,
新北市三重區新北大道一段9號5樓,,
新北市三重區新北大道一段1號,,
新北市三重區大有街10號,,
新北市三重區新北大道一段9號2樓,,
新北市三重區忠孝路一段119號,,
新北市三重區重新路四段臨121號,,
新北市三重區重安街70號三樓,,
新北市三重區中正北路450號,,
新北市三重區忠孝路一段70號B1,,
新北市三重區公園街32號,,
新北市三重區正義北路154號B1,,
新北市三重區大智街260號,,
新北市三重區新北大道一段11號,,
新北市三重區新北大道一段11號8樓,,
新北市三重區神農街 101號,,
新北市三重區五華街282號3樓,,
新北市三重區集美街10號,,
新北市三重區捷運路36號,,
新北市三重區重新路一段87-6號,,
新北市三重區中興北街42巷17弄10號,,
新北市三重區重新路一段108號B1,,
新北市三重區重新路三段150號B1,,
