district,village,male,female,total
板橋區,126,2199,2839,5038
三重區,119,1321,1697,3018
中和區,93,1485,1946,3431
永和區,62,529,770,1299
新莊區,84,2635,3068,5703
新店區,69,1810,2256,4066
土城區,47,2115,2317,4432
蘆洲區,38,1072,1241,2313
樹林區,42,3090,3240,6330
鶯歌區,20,1541,1705,3246
三峽區,28,1584,1633,3217
淡水區,42,1190,1443,2633
汐止區,50,2236,2458,4694
瑞芳區,34,609,590,1199
五股區,20,1027,1188,2215
泰山區,17,630,715,1345
林口區,17,1256,1501,2757
八里區,10,522,570,1092
深坑區,8,123,153,276
石碇區,12,18,28,46
坪林區,7,14,10,24
三芝區,13,178,200,378
石門區,9,21,36,57
金山區,15,47,78,125
萬里區,10,158,171,329
平溪區,12,10,15,25
雙溪區,12,14,18,32
貢寮區,11,50,55,105
烏來區,5,1419,1525,2944
總計,1032,28903,33466,62369
