年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
110年1月,總計,計,17106,9983,7123
110年1月,總計,男,7273,4365,2908
110年1月,總計,女,9833,5618,4215
110年1月,松山區,計,940,524,416
110年1月,松山區,男,388,216,172
110年1月,松山區,女,552,308,244
110年1月,信義區,計,1117,615,502
110年1月,信義區,男,443,250,193
110年1月,信義區,女,674,365,309
110年1月,大安區,計,1140,607,533
110年1月,大安區,男,485,277,208
110年1月,大安區,女,655,330,325
110年1月,中山區,計,1444,798,646
110年1月,中山區,男,578,339,239
110年1月,中山區,女,866,459,407
110年1月,中正區,計,768,446,322
110年1月,中正區,男,347,208,139
110年1月,中正區,女,421,238,183
110年1月,大同區,計,749,412,337
110年1月,大同區,男,329,172,157
110年1月,大同區,女,420,240,180
110年1月,萬華區,計,1438,756,682
110年1月,萬華區,男,610,324,286
110年1月,萬華區,女,828,432,396
110年1月,文山區,計,2215,1192,1023
110年1月,文山區,男,965,527,438
110年1月,文山區,女,1250,665,585
110年1月,南港區,計,1502,1042,460
110年1月,南港區,男,669,477,192
110年1月,南港區,女,833,565,268
110年1月,內湖區,計,2441,1636,805
110年1月,內湖區,男,1042,720,322
110年1月,內湖區,女,1399,916,483
110年1月,士林區,計,1688,958,730
110年1月,士林區,男,708,409,299
110年1月,士林區,女,980,549,431
110年1月,北投區,計,1664,997,667
110年1月,北投區,男,709,446,263
110年1月,北投區,女,955,551,404
110年2月,總計,計,17089,9969,7120
110年2月,總計,男,7265,4360,2905
110年2月,總計,女,9824,5609,4215
110年2月,松山區,計,940,523,417
110年2月,松山區,男,386,214,172
110年2月,松山區,女,554,309,245
110年2月,信義區,計,1128,616,512
110年2月,信義區,男,449,250,199
110年2月,信義區,女,679,366,313
110年2月,大安區,計,1134,603,531
110年2月,大安區,男,482,274,208
110年2月,大安區,女,652,329,323
110年2月,中山區,計,1433,795,638
110年2月,中山區,男,573,339,234
110年2月,中山區,女,860,456,404
110年2月,中正區,計,772,446,326
110年2月,中正區,男,348,207,141
