年份,月份,性別,總計,阿美族數量,泰雅族數量,排灣族數量,布農族數量,魯凱族數量,卑南族數量,鄒族數量,賽夏族數量,雅美族數量,邵族數量,噶瑪蘭族數量,太魯閣族數量,撒奇萊雅族數量,賽德克族數量,拉阿魯哇族數量,卡那卡那富族數量,尚未申報
109,1,計,17028,8096,2940,1687,1099,253,518,177,189,51,24,39,954,35,244,1,1,720
109,1,男,7222,3577,1175,718,454,110,235,67,87,19,7,16,391,15,96,0,0,255
109,1,女,9806,4519,1765,969,645,143,283,110,102,32,17,23,563,20,148,1,1,465
109,2,計,17045,8094,2952,1700,1095,253,514,178,193,52,24,38,955,33,244,1,1,718
109,2,男,7223,3580,1174,726,452,109,230,68,88,19,7,16,391,14,96,0,0,253
109,2,女,9822,4514,1778,974,643,144,284,110,105,33,17,22,564,19,148,1,1,465
109,3,計,17055,8082,2948,1713,1097,254,520,179,192,52,24,39,958,33,243,1,1,719
109,3,男,7214,3574,1172,723,452,110,231,69,88,19,7,17,391,14,94,0,0,253
109,3,女,9841,4508,1776,990,645,144,289,110,104,33,17,22,567,19,149,1,1,466
109,4,計,17079,8101,2953,1716,1103,250,522,179,192,53,24,40,958,32,243,1,1,711
109,4,男,7211,3575,1174,722,452,107,232,69,87,20,7,18,390,14,94,0,0,250
109,4,女,9868,4526,1779,994,651,143,290,110,105,33,17,22,568,18,149,1,1,461
109,5,計,17124,8111,2973,1716,1123,248,520,180,192,53,24,40,961,34,244,1,1,703
109,5,男,7248,3582,1191,720,465,106,231,70,87,20,7,18,394,15,94,0,0,248
109,5,女,9876,4529,1782,996,658,142,289,110,105,33,17,22,567,19,150,1,1,455
109,6,計,17133,8103,2975,1719,1126,249,521,180,192,52,24,40,967,32,246,1,1,705
109,6,男,7262,3580,1199,725,466,107,232,69,87,19,7,18,394,13,95,0,0,251
109,6,女,9871,4523,1776,994,660,142,289,111,105,33,17,22,573,19,151,1,1,454
109,7,計,17141,8107,2977,1716,1131,251,521,177,192,52,24,39,973,32,246,1,1,701
109,7,男,7274,3584,1207,723,469,109,233,67,87,19,7,17,395,13,94,0,0,250
109,7,女,9867,4523,1770,993,662,142,288,110,105,33,17,22,578,19,152,1,1,451
109,8,計,17118,8089,2977,1725,1132,252,521,176,192,52,25,39,964,31,247,1,1,694
109,8,男,7262,3571,1207,731,473,109,231,67,87,19,7,17,391,12,94,0,0,246
109,8,女,9856,4518,1770,994,659,143,290,109,105,33,18,22,573,19,153,1,1,448
109,9,計,17139,8110,2982,1727,1135,253,518,176,192,52,24,39,961,31,246,1,1,691
109,9,男,7276,3583,1208,734,472,110,230,67,88,19,7,17,390,12,94,0,0,245
109,9,女,9863,4527,1774,993,663,143,288,109,104,33,17,22,571,19,152,1,1,446
109,10,計,17142,8107,2988,1725,1135,253,516,177,193,53,24,39,961,31,248,1,1,690
109,10,男,7284,3583,1208,736,475,109,228,68,88,19,7,17,393,12,96,0,0,245
109,10,女,9858,4524,1780,989,660,144,288,109,105,34,17,22,568,19,152,1,1,445
109,11,計,17121,8106,2983,1722,1131,255,516,177,193,51,24,41,951,31,251,1,1,687
109,11,男,7279,3580,1207,737,473,111,228,68,88,18,7,19,389,12,96,0,0,246
109,11,女,9842,4526,1776,985,658,144,288,109,105,33,17,22,562,19,155,1,1,441
109,12,計,17131,8117,2987,1725,1125,254,519,175,193,51,24,41,945,31,253,1,1,689
109,12,男,7278,3587,1211,738,467,111,230,67,89,18,7,19,380,12,96,0,0,246
109,12,女,9853,4530,1776,987,658,143,289,108,104,33,17,22,565,19,157,1,1,443
