year,month,gender,total,population_amis,population_atayal,population_paiwan,population_bunun,population_rukai,population_pinan,population_tsou,population_saisiyat,population_yami,population_thao,population_kavalan,population_truku,population_sakizaya,population_seediq,population_laaruwa,population_kanakanavu,unreported
109,1,女,9806,4519,1765,969,645,143,283,110,102,32,17,23,563,20,148,1,1,465
109,1,男,7222,3577,1175,718,454,110,235,67,87,19,7,16,391,15,96,0,0,255
109,1,計,17028,8096,2940,1687,1099,253,518,177,189,51,24,39,954,35,244,1,1,720
109,2,女,9822,4514,1778,974,643,144,284,110,105,33,17,22,564,19,148,1,1,465
109,2,男,7223,3580,1174,726,452,109,230,68,88,19,7,16,391,14,96,0,0,253
109,2,計,17045,8094,2952,1700,1095,253,514,178,193,52,24,38,955,33,244,1,1,718
109,3,女,9841,4508,1776,990,645,144,289,110,104,33,17,22,567,19,149,1,1,466
109,3,男,7214,3574,1172,723,452,110,231,69,88,19,7,17,391,14,94,0,0,253
109,3,計,17055,8082,2948,1713,1097,254,520,179,192,52,24,39,958,33,243,1,1,719
109,4,女,9868,4526,1779,994,651,143,290,110,105,33,17,22,568,18,149,1,1,461
109,4,男,7211,3575,1174,722,452,107,232,69,87,20,7,18,390,14,94,0,0,250
109,4,計,17079,8101,2953,1716,1103,250,522,179,192,53,24,40,958,32,243,1,1,711
109,5,女,9876,4529,1782,996,658,142,289,110,105,33,17,22,567,19,150,1,1,455
109,5,男,7248,3582,1191,720,465,106,231,70,87,20,7,18,394,15,94,0,0,248
109,5,計,17124,8111,2973,1716,1123,248,520,180,192,53,24,40,961,34,244,1,1,703
109,6,女,9871,4523,1776,994,660,142,289,111,105,33,17,22,573,19,151,1,1,454
109,6,男,7262,3580,1199,725,466,107,232,69,87,19,7,18,394,13,95,0,0,251
109,6,計,17133,8103,2975,1719,1126,249,521,180,192,52,24,40,967,32,246,1,1,705
109,7,女,9867,4523,1770,993,662,142,288,110,105,33,17,22,578,19,152,1,1,451
109,7,男,7274,3584,1207,723,469,109,233,67,87,19,7,17,395,13,94,0,0,250
109,7,計,17141,8107,2977,1716,1131,251,521,177,192,52,24,39,973,32,246,1,1,701
109,8,女,9856,4518,1770,994,659,143,290,109,105,33,18,22,573,19,153,1,1,448
109,8,男,7262,3571,1207,731,473,109,231,67,87,19,7,17,391,12,94,0,0,246
109,8,計,17118,8089,2977,1725,1132,252,521,176,192,52,25,39,964,31,247,1,1,694
109,9,女,9863,4527,1774,993,663,143,288,109,104,33,17,22,571,19,152,1,1,446
109,9,男,7276,3583,1208,734,472,110,230,67,88,19,7,17,390,12,94,0,0,245
109,9,計,17139,8110,2982,1727,1135,253,518,176,192,52,24,39,961,31,246,1,1,691
109,10,女,9858,4524,1780,989,660,144,288,109,105,34,17,22,568,19,152,1,1,445
109,10,男,7284,3583,1208,736,475,109,228,68,88,19,7,17,393,12,96,0,0,245
109,10,計,17142,8107,2988,1725,1135,253,516,177,193,53,24,39,961,31,248,1,1,690
109,11,女,9842,4526,1776,985,658,144,288,109,105,33,17,22,562,19,155,1,1,441
109,11,男,7279,3580,1207,737,473,111,228,68,88,18,7,19,389,12,96,0,0,246
109,11,計,17121,8106,2983,1722,1131,255,516,177,193,51,24,41,951,31,251,1,1,687
109,12,女,9853,4530,1776,987,658,143,289,108,104,33,17,22,565,19,157,1,1,443
109,12,男,7278,3587,1211,738,467,111,230,67,89,18,7,19,380,12,96,0,0,246
109,12,計,17131,8117,2987,1725,1125,254,519,175,193,51,24,41,945,31,253,1,1,689
110,1,女,9833,4530,1772,985,657,140,288,108,101,35,17,23,561,19,156,1,1,439
110,1,男,7273,3586,1212,744,468,108,226,67,89,17,7,19,377,12,95,0,0,246
110,1,計,17106,8116,2984,1729,1125,248,514,175,190,52,24,42,938,31,251,1,1,685
110,2,女,9824,4527,1769,985,659,142,286,107,102,35,17,24,562,19,153,1,1,435
110,2,男,7265,3576,1215,740,466,110,227,67,89,17,7,20,378,12,95,0,0,246
110,2,計,17089,8103,2984,1725,1125,252,513,174,191,52,24,44,940,31,248,1,1,681
110,3,女,9819,4537,1766,978,659,141,284,105,104,34,16,24,564,19,153,1,1,433
110,3,男,7255,3571,1228,737,461,109,228,65,87,17,7,20,375,12,95,0,0,243
110,3,計,17074,8108,2994,1715,1120,250,512,170,191,51,23,44,939,31,248,1,1,676
110,4,女,9823,4538,1769,978,657,143,283,105,105,34,16,24,565,19,153,1,1,432
110,4,男,7250,3564,1228,743,460,109,227,65,87,17,7,20,377,12,93,0,0,241
110,4,計,17073,8102,2997,1721,1117,252,510,170,192,51,23,44,942,31,246,1,1,673
110,5,女,9818,4535,1770,978,654,143,282,105,105,34,16,23,570,19,153,1,1,429
110,5,男,7255,3564,1232,745,462,108,228,65,87,17,7,20,378,12,93,0,0,237
110,5,計,17073,8099,3002,1723,1116,251,510,170,192,51,23,43,948,31,246,1,1,666
110,6,女,9790,4516,1771,970,654,142,282,106,105,35,16,23,569,19,154,1,1,426
110,6,男,7252,3559,1235,751,459,108,227,65,87,17,7,20,374,12,94,0,0,237
110,6,計,17042,8075,3006,1721,1113,250,509,171,192,52,23,43,943,31,248,1,1,663
110,7,女,9788,4506,1774,976,654,142,281,106,104,35,17,23,571,19,155,1,1,423
110,7,男,7256,3546,1233,758,462,108,227,65,89,18,7,23,375,12,94,0,1,238
110,7,計,17044,8052,3007,1734,1116,250,508,171,193,53,24,46,946,31,249,1,2,661
110,8,女,9782,4507,1772,973,654,142,279,108,101,37,17,24,572,19,154,1,1,421
110,8,男,7273,3559,1230,760,467,108,226,65,89,19,7,23,374,14,96,0,1,235
110,8,計,17055,8066,3002,1733,1121,250,505,173,190,56,24,47,946,33,250,1,2,656
110,9,女,9778,4506,1770,977,656,141,276,109,100,37,17,25,568,21,156,1,1,417
110,9,男,7276,3564,1226,762,470,107,225,65,89,19,7,23,373,14,98,0,1,233
110,9,計,17054,8070,2996,1739,1126,248,501,174,189,56,24,48,941,35,254,1,2,650
110,10,女,9769,4501,1773,979,656,142,275,110,100,37,17,25,560,21,156,1,1,415
110,10,男,7280,3563,1227,761,473,108,225,65,89,19,7,24,374,14,97,0,1,233
110,10,計,17049,8064,3000,1740,1129,250,500,175,189,56,24,49,934,35,253,1,2,648
110,11,女,9759,4492,1772,974,656,142,277,110,102,37,17,25,561,21,155,1,1,416
110,11,男,7302,3577,1235,764,471,109,224,64,89,19,7,24,373,14,97,0,1,234
110,11,計,17061,8069,3007,1738,1127,251,501,174,191,56,24,49,934,35,252,1,2,650
110,12,女,9762,4497,1768,974,659,143,278,110,103,36,17,25,562,21,157,1,1,410
110,12,男,7311,3587,1232,763,477,109,224,64,89,19,7,24,372,14,95,0,1,234
110,12,計,17073,8084,3000,1737,1136,252,502,174,192,55,24,49,934,35,252,1,2,644
111,1,女,9743,4498,1763,967,655,143,277,111,102,36,17,25,562,21,157,1,1,407
111,1,男,7295,3581,1229,761,471,110,224,67,89,19,7,24,372,14,94,0,1,232
111,1,計,17038,8079,2992,1728,1126,253,501,178,191,55,24,49,934,35,251,1,2,639
111,2,女,9723,4488,1759,966,655,144,278,111,101,34,17,24,564,21,155,1,1,404
111,2,男,7289,3585,1224,760,466,111,225,67,89,19,7,24,371,15,94,0,1,231
111,2,計,17012,8073,2983,1726,1121,255,503,178,190,53,24,48,935,36,249,1,2,635
111,3,女,9715,4493,1750,964,649,146,281,112,100,33,17,23,562,21,160,1,1,402
111,3,男,7271,3584,1217,763,460,111,221,67,88,19,7,23,370,15,95,0,1,230
111,3,計,16986,8077,2967,1727,1109,257,502,179,188,52,24,46,932,36,255,1,2,632
111,4,女,9684,4476,1744,969,645,145,282,111,100,33,16,22,563,21,160,1,1,395
111,4,男,7278,3581,1220,764,463,111,221,68,88,18,7,24,368,16,95,0,1,233
111,4,計,16962,8057,2964,1733,1108,256,503,179,188,51,23,46,931,37,255,1,2,628
111,5,女,9667,4467,1740,968,645,145,279,111,100,33,16,23,564,21,159,1,1,394
111,5,男,7287,3579,1228,762,465,113,219,68,88,18,7,24,369,15,97,0,1,234
111,5,計,16954,8046,2968,1730,1110,258,498,179,188,51,23,47,933,36,256,1,2,628
111,6,女,9660,4475,1731,963,643,147,277,111,101,33,16,23,565,21,159,1,1,393
111,6,男,7282,3586,1220,760,466,111,220,69,89,19,7,24,366,15,97,0,1,232
111,6,計,16942,8061,2951,1723,1109,258,497,180,190,52,23,47,931,36,256,1,2,625
111,7,女,9659,4476,1732,960,638,146,279,111,104,33,16,24,564,21,159,1,1,394
111,7,男,7267,3573,1218,758,462,111,220,69,90,20,7,24,370,14,98,0,1,232
111,7,計,16926,8049,2950,1718,1100,257,499,180,194,53,23,48,934,35,257,1,2,626
111,8,女,9683,4486,1733,968,638,145,280,112,104,35,18,24,565,21,159,1,1,393
111,8,男,7263,3568,1216,758,465,111,219,69,91,20,8,24,371,14,98,0,1,230
111,8,計,16946,8054,2949,1726,1103,256,499,181,195,55,26,48,936,35,257,1,2,623
111,9,女,9691,4495,1727,976,640,145,282,110,103,36,18,24,564,21,159,1,1,389
111,9,男,7271,3562,1226,762,463,111,220,70,92,20,8,24,372,14,99,0,1,227
111,9,計,16962,8057,2953,1738,1103,256,502,180,195,56,26,48,936,35,258,1,2,616
111,10,女,9711,4519,1726,971,641,145,281,111,103,36,18,24,564,21,158,1,1,391
111,10,男,7260,3557,1224,759,464,111,220,68,93,20,8,24,373,13,98,0,1,227
111,10,計,16971,8076,2950,1730,1105,256,501,179,196,56,26,48,937,34,256,1,2,618
111,11,女,9726,4531,1728,973,639,146,282,111,102,36,18,24,566,21,158,1,1,389
111,11,男,7268,3555,1226,763,468,111,220,68,92,20,8,24,373,13,98,0,1,228
111,11,計,16994,8086,2954,1736,1107,257,502,179,194,56,26,48,939,34,256,1,2,617
111,12,女,9713,4527,1730,971,637,145,278,111,104,36,18,24,561,22,159,1,1,388
111,12,男,7265,3553,1229,765,463,111,221,69,92,20,8,25,370,13,98,0,1,227
111,12,計,16978,8080,2959,1736,1100,256,499,180,196,56,26,49,931,35,257,1,2,615
112,1,女,9730,4537,1731,977,642,145,277,111,102,35,19,24,557,22,161,1,1,388
112,1,男,7260,3554,1222,764,468,110,222,69,92,20,8,24,370,13,98,0,1,225
112,1,計,16990,8091,2953,1741,1110,255,499,180,194,55,27,48,927,35,259,1,2,613
112,2,女,9729,4540,1722,982,638,143,282,112,103,35,20,24,559,22,160,1,1,385
112,2,男,7256,3548,1217,768,466,110,221,69,92,20,8,26,370,14,101,0,1,225
112,2,計,16985,8088,2939,1750,1104,253,503,181,195,55,28,50,929,36,261,1,2,610
112,3,女,9724,4544,1707,992,638,143,281,112,102,35,20,24,559,22,158,1,1,385
112,3,男,7262,3554,1214,769,466,111,222,69,93,20,8,26,370,14,102,0,1,223
112,3,計,16986,8098,2921,1761,1104,254,503,181,195,55,28,50,929,36,260,1,2,608
112,4,女,9725,4546,1712,990,635,142,283,112,102,34,21,25,557,22,159,1,1,383
