轄屬,行政區,學校代碼,設立別,學制,縣市代碼,縣市別,學校名稱
縣市轄,烏來區,14685,直轄市立,國小,65000,新北市,市立德拉楠民族實驗小學
縣市轄,新店區,14675,直轄市立,國小,65000,新北市,市立龜山國小
縣市轄,汐止區,14779,直轄市立,國小,65000,新北市,市立樟樹國小
縣市轄,新莊區,14735,直轄市立,國小,65000,新北市,市立丹鳳國小
縣市轄,烏來區,14551,直轄市立,國中,65000,新北市,市立烏來國中小
縣市轄,汐止區,11312,私立,高中職,65000,新北市,私立崇義高中
縣市轄,新店區,11431,私立,高中職,65000,新北市,私立莊敬工家
縣市轄,樹林區,11405,私立,高中職,65000,新北市,私立樹人家商
縣市轄,八德區,34647,直轄市立,國小,68000,桃園市,市立大勇國小
縣市轄,八德區,34649,直轄市立,國小,68000,桃園市,市立瑞豐國小
縣市轄,八德區,34648,直轄市立,國小,68000,桃園市,市立八德國小
縣市轄,八德區,34646,直轄市立,國小,68000,桃園市,市立大成國小
縣市轄,龜山區,34636,直轄市立,國小,68000,桃園市,市立龜山國小
縣市轄,大溪區,34654,直轄市立,國小,68000,桃園市,市立大溪國小
縣市轄,大溪區,34658,直轄市立,國小,68000,桃園市,市立百吉國小
縣市轄,大溪區,34662,直轄市立,國小,68000,桃園市,市立仁善國小
縣市轄,大溪區,34663,直轄市立,國小,68000,桃園市,市立僑愛國小
縣市轄,大溪區,34788,直轄市立,國小,68000,桃園市,市立仁和國小
縣市轄,龍潭區,34729,直轄市立,國小,68000,桃園市,市立武漢國小
縣市轄,復興區,34730,直轄市立,國小,68000,桃園市,市立介壽國小
縣市轄,復興區,34731,直轄市立,國小,68000,桃園市,市立三民國小
縣市轄,復興區,34732,直轄市立,國小,68000,桃園市,市立義盛國小
縣市轄,復興區,34733,直轄市立,國小,68000,桃園市,市立霞雲國小
縣市轄,復興區,34734,直轄市立,國小,68000,桃園市,市立奎輝國小
縣市轄,復興區,34735,直轄市立,國小,68000,桃園市,市立光華國小
縣市轄,復興區,34736,直轄市立,國小,68000,桃園市,市立高義國小
縣市轄,復興區,34737,直轄市立,國小,68000,桃園市,市立長興國小
縣市轄,復興區,34738,直轄市立,國小,68000,桃園市,市立三光國小
縣市轄,復興區,34740,直轄市立,國小,68000,桃園市,市立羅浮國小
縣市轄,復興區,34741,直轄市立,國小,68000,桃園市,市立巴崚國小
縣市轄,平鎮區,34742,直轄市立,國小,68000,桃園市,市立東安國小
縣市轄,中壢區,34746,直轄市立,國小,68000,桃園市,市立華勛國小
縣市轄,觀音區,34719,直轄市立,國小,68000,桃園市,市立草漯國小
縣市轄,八德區,34516,直轄市立,國中,68000,桃園市,市立八德國中
縣市轄,八德區,34517,直轄市立,國中,68000,桃園市,市立大成國中
縣市轄,大園區,34509,直轄市立,國中,68000,桃園市,市立大園國中
縣市轄,大溪區,34511,直轄市立,國中,68000,桃園市,市立大溪國中
縣市轄,大溪區,34513,直轄市立,國中,68000,桃園市,市立仁和國中
縣市轄,龜山區,34555,直轄市立,國中,68000,桃園市,市立龜山國中
縣市轄,中壢區,31318,私立,高中職,68000,桃園市,桃園市啟英高中
縣市轄,復興區,34348,直轄市立,高中職,68000,桃園市,市立羅浮高中(含國中部)
縣市轄,八德區,31320,私立,高中職,68000,桃園市,桃園市新興高中(含國中、國小部)
縣市轄,大園區,31324,私立,高中職,68000,桃園市,桃園市大興高中
縣市轄,八德區,34347,直轄市立,高中職,68000,桃園市,市立永豐高中(含國中部)
縣市轄,楊梅區,31421,私立,高中職,68000,桃園市,私立永平工商
縣市轄,楊梅區,31312,私立,高中職,68000,桃園市,桃園市治平高中(含國中部)
縣市轄,平鎮區,31309,私立,高中職,68000,桃園市,桃園市育達高中
縣市轄,平鎮區,34319,直轄市立,高中職,68000,桃園市,市立平鎮高中
署轄,桃園區,30403,國立,高中職,68000,桃園市,國立臺北科技大學附屬桃園農工高級中等學校
縣市轄,大雅區,64624,直轄市立,國小,66000,臺中市,市立汝鎏國小
縣市轄,和平區,64729,直轄市立,國小,66000,臺中市,市立和平區和平國小
縣市轄,和平區,64731,直轄市立,國小,66000,臺中市,市立白冷國小
縣市轄,和平區,64732,直轄市立,國小,66000,臺中市,市立博屋瑪國小
縣市轄,和平區,64734,直轄市立,國小,66000,臺中市,市立平等國小
縣市轄,和平區,64735,直轄市立,國小,66000,臺中市,市立德芙蘭國小
縣市轄,和平區,64736,直轄市立,國小,66000,臺中市,市立自由國小
縣市轄,和平區,64552,直轄市立,國中,66000,臺中市,市立梨山國中小
縣市轄,和平區,64533,直轄市立,國中,66000,臺中市,市立和平國中
縣市轄,大里區,61316,私立,高中職,66000,臺中市,私立青年高中
縣市轄,東勢區,61319,私立,高中職,66000,臺中市,私立玉山高中
縣市轄,那瑪夏區,124731,直轄市立,國小,64000,高雄市,市立民生國小
縣市轄,那瑪夏區,124755,直轄市立,國小,64000,高雄市,市立那瑪夏區民權國小
縣市轄,茂林區,124732,直轄市立,國小,64000,高雄市,市立茂林國小
縣市轄,茂林區,124733,直轄市立,國小,64000,高雄市,市立多納國小
縣市轄,桃源區,124734,直轄市立,國小,64000,高雄市,市立桃源國小
縣市轄,桃源區,124735,直轄市立,國小,64000,高雄市,市立建山國小
縣市轄,桃源區,124736,直轄市立,國小,64000,高雄市,市立興中國小
縣市轄,桃源區,124737,直轄市立,國小,64000,高雄市,市立寶山國小
縣市轄,桃源區,124738,直轄市立,國小,64000,高雄市,市立樟山國小
縣市轄,杉林區,123501,直轄市立,國中,64000,高雄市,市立巴楠花部落國中小
縣市轄,六龜區,124534,直轄市立,國中,64000,高雄市,市立寶來國中
縣市轄,那瑪夏區,124542,直轄市立,國中,64000,高雄市,市立那瑪夏國中
縣市轄,茂林區,124547,直轄市立,國中,64000,高雄市,市立茂林國中
縣市轄,桃源區,124548,直轄市立,國中,64000,高雄市,市立桃源國中
署轄,大寮區,121405,私立,高中職,64000,高雄市,中山學校財團法人高雄市中山高級工商職業學校
縣市轄,中正區,173605,市立,國小,10017,基隆市,市立八斗國小
縣市轄,中正區,173314,市立,高中職,10017,基隆市,市立八斗高中(含國中部)
縣市轄,蘇澳鎮,24617,縣立,國小,10002,宜蘭縣,縣立蓬萊國小
縣市轄,大同鄉,24668,縣立,國小,10002,宜蘭縣,縣立四季國小
縣市轄,大同鄉,24669,縣立,國小,10002,宜蘭縣,縣立南山國小
縣市轄,大同鄉,24670,縣立,國小,10002,宜蘭縣,縣立大同國小
縣市轄,大同鄉,24671,縣立,國小,10002,宜蘭縣,縣立寒溪國小
縣市轄,南澳鄉,24672,縣立,國小,10002,宜蘭縣,縣立南澳國小
縣市轄,南澳鄉,24673,縣立,國小,10002,宜蘭縣,縣立碧候國小
縣市轄,南澳鄉,24674,縣立,國小,10002,宜蘭縣,縣立武塔國小
縣市轄,南澳鄉,24675,縣立,國小,10002,宜蘭縣,縣立澳花國小
縣市轄,南澳鄉,24676,縣立,國小,10002,宜蘭縣,縣立東澳國小
縣市轄,南澳鄉,24677,縣立,國小,10002,宜蘭縣,縣立金岳國小
縣市轄,南澳鄉,24678,縣立,國小,10002,宜蘭縣,縣立金洋國小
縣市轄,大同鄉,24523,縣立,國中,10002,宜蘭縣,縣立大同國中
縣市轄,南澳鄉,24322,縣立,高中職,10002,宜蘭縣,縣立南澳高中(含國中部)
署轄,羅東鎮,20404,國立,高中職,10002,宜蘭縣,國立羅東高級商業職業學校
縣市轄,竹東鎮,44619,縣立,國小,10004,新竹縣,縣立竹東國小
