year,month,nationality,job_type,count
2015,1,印尼,農、林、漁、牧,1286
2015,1,菲律賓,農、林、漁、牧,166
2015,1,泰國,農、林、漁、牧,3
2015,2,印尼,農、林、漁、牧,1251
2015,2,菲律賓,農、林、漁、牧,163
2015,2,泰國,農、林、漁、牧,3
2015,3,印尼,農、林、漁、牧,1213
2015,3,菲律賓,農、林、漁、牧,154
2015,3,泰國,農、林、漁、牧,3
2015,4,印尼,農、林、漁、牧,1227
2015,4,菲律賓,農、林、漁、牧,161
2015,4,泰國,農、林、漁、牧,3
2015,5,印尼,農、林、漁、牧,1248
2015,5,菲律賓,農、林、漁、牧,163
2015,5,泰國,農、林、漁、牧,3
2015,6,印尼,農、林、漁、牧,1215
2015,6,菲律賓,農、林、漁、牧,175
2015,6,泰國,農、林、漁、牧,3
2015,7,印尼,農、林、漁、牧,1155
2015,7,菲律賓,農、林、漁、牧,173
2015,7,泰國,農、林、漁、牧,3
2015,8,印尼,農、林、漁、牧,1123
2015,8,菲律賓,農、林、漁、牧,197
2015,8,泰國,農、林、漁、牧,3
2015,9,印尼,農、林、漁、牧,1106
2015,9,菲律賓,農、林、漁、牧,212
2015,9,泰國,農、林、漁、牧,3
2015,10,印尼,農、林、漁、牧,1112
2015,10,菲律賓,農、林、漁、牧,212
2015,10,泰國,農、林、漁、牧,3
2015,10,越南,農、林、漁、牧,1
2015,11,印尼,農、林、漁、牧,1133
2015,11,菲律賓,農、林、漁、牧,217
2015,11,泰國,農、林、漁、牧,3
2015,12,印尼,農、林、漁、牧,1153
2015,12,菲律賓,農、林、漁、牧,221
2015,12,泰國,農、林、漁、牧,3
2015,12,越南,農、林、漁、牧,35
2016,1,印尼,農、林、漁、牧,1142
2016,1,菲律賓,農、林、漁、牧,221
2016,1,泰國,農、林、漁、牧,3
2016,1,越南,農、林、漁、牧,136
2016,2,印尼,農、林、漁、牧,1101
2016,2,菲律賓,農、林、漁、牧,219
2016,2,泰國,農、林、漁、牧,3
2016,2,越南,農、林、漁、牧,169
2016,3,印尼,農、林、漁、牧,1078
2016,3,菲律賓,農、林、漁、牧,219
2016,3,泰國,農、林、漁、牧,3
2016,3,越南,農、林、漁、牧,219
2016,4,印尼,農、林、漁、牧,1072
2016,4,菲律賓,農、林、漁、牧,214
2016,4,泰國,農、林、漁、牧,3
2016,4,越南,農、林、漁、牧,279
2016,5,印尼,農、林、漁、牧,1067
2016,5,菲律賓,農、林、漁、牧,212
2016,5,泰國,農、林、漁、牧,2
2016,5,越南,農、林、漁、牧,336
2016,6,印尼,農、林、漁、牧,1027
2016,6,菲律賓,農、林、漁、牧,212
2016,6,泰國,農、林、漁、牧,2
2016,6,越南,農、林、漁、牧,358
2016,7,印尼,農、林、漁、牧,980
2016,7,菲律賓,農、林、漁、牧,210
2016,7,泰國,農、林、漁、牧,1
2016,7,越南,農、林、漁、牧,379
2016,8,印尼,農、林、漁、牧,984
2016,8,菲律賓,農、林、漁、牧,207
2016,8,泰國,農、林、漁、牧,1
2016,8,越南,農、林、漁、牧,345
2016,9,印尼,農、林、漁、牧,966
2016,9,菲律賓,農、林、漁、牧,203
2016,9,泰國,農、林、漁、牧,1
2016,9,越南,農、林、漁、牧,334
2016,10,印尼,農、林、漁、牧,936
2016,10,菲律賓,農、林、漁、牧,205
2016,10,泰國,農、林、漁、牧,3
2016,10,越南,農、林、漁、牧,330
2016,11,印尼,農、林、漁、牧,936
2016,11,菲律賓,農、林、漁、牧,206
2016,11,泰國,農、林、漁、牧,3
2016,11,越南,農、林、漁、牧,331
2016,12,印尼,農、林、漁、牧,957
2016,12,菲律賓,農、林、漁、牧,202
2016,12,泰國,農、林、漁、牧,3
2016,12,越南,農、林、漁、牧,311
2017,1,印尼,農、林、漁、牧,1005
2017,1,菲律賓,農、林、漁、牧,203
2017,1,泰國,農、林、漁、牧,3
2017,1,越南,農、林、漁、牧,306
2017,2,印尼,農、林、漁、牧,1042
2017,2,菲律賓,農、林、漁、牧,195
2017,2,泰國,農、林、漁、牧,3
2017,2,越南,農、林、漁、牧,284
2017,3,印尼,農、林、漁、牧,1091
2017,3,菲律賓,農、林、漁、牧,191
2017,3,泰國,農、林、漁、牧,3
2017,3,越南,農、林、漁、牧,262
2017,4,印尼,農、林、漁、牧,1130
2017,4,菲律賓,農、林、漁、牧,215
2017,4,泰國,農、林、漁、牧,3
2017,4,越南,農、林、漁、牧,272
2017,5,印尼,農、林、漁、牧,1150
2017,5,菲律賓,農、林、漁、牧,229
2017,5,泰國,農、林、漁、牧,3
2017,5,越南,農、林、漁、牧,264
2017,6,印尼,農、林、漁、牧,1136
2017,6,菲律賓,農、林、漁、牧,232
2017,6,泰國,農、林、漁、牧,3
2017,6,越南,農、林、漁、牧,257
2017,7,印尼,農、林、漁、牧,1196
2017,7,菲律賓,農、林、漁、牧,229
2017,7,泰國,農、林、漁、牧,3
2017,7,越南,農、林、漁、牧,254
2017,8,印尼,農、林、漁、牧,1220
2017,8,菲律賓,農、林、漁、牧,233
2017,8,泰國,農、林、漁、牧,3
2017,8,越南,農、林、漁、牧,262
2017,9,印尼,農、林、漁、牧,1271
2017,9,菲律賓,農、林、漁、牧,231
2017,9,泰國,農、林、漁、牧,3
2017,9,越南,農、林、漁、牧,258
2017,10,印尼,農、林、漁、牧,1314
2017,10,菲律賓,農、林、漁、牧,231
2017,10,泰國,農、林、漁、牧,3
2017,10,越南,農、林、漁、牧,260
2017,11,印尼,農、林、漁、牧,1325
2017,11,菲律賓,農、林、漁、牧,232
2017,11,泰國,農、林、漁、牧,3
2017,11,越南,農、林、漁、牧,266
2017,12,印尼,農、林、漁、牧,1335
2017,12,菲律賓,農、林、漁、牧,220
2017,12,泰國,農、林、漁、牧,3
2017,12,越南,農、林、漁、牧,262
2018,1,印尼,農、林、漁、牧,1314
2018,1,菲律賓,農、林、漁、牧,220
2018,1,泰國,農、林、漁、牧,4
2018,1,越南,農、林、漁、牧,268
2018,2,印尼,農、林、漁、牧,1305
2018,2,菲律賓,農、林、漁、牧,214
2018,2,泰國,農、林、漁、牧,4
2018,2,越南,農、林、漁、牧,267
2018,3,印尼,農、林、漁、牧,1264
2018,3,菲律賓,農、林、漁、牧,217
2018,3,泰國,農、林、漁、牧,4
2018,3,越南,農、林、漁、牧,244
2018,4,印尼,農、林、漁、牧,1295
2018,4,菲律賓,農、林、漁、牧,220
2018,4,泰國,農、林、漁、牧,4
2018,4,越南,農、林、漁、牧,232
