year,month,nationality,job_type,count
2015,1,印尼,農、林、漁、牧,33
2015,1,菲律賓,農、林、漁、牧,39
2015,2,印尼,農、林、漁、牧,29
2015,2,菲律賓,農、林、漁、牧,38
2015,3,印尼,農、林、漁、牧,27
2015,3,菲律賓,農、林、漁、牧,34
2015,4,印尼,農、林、漁、牧,25
2015,4,菲律賓,農、林、漁、牧,31
2015,5,印尼,農、林、漁、牧,25
2015,5,菲律賓,農、林、漁、牧,46
2015,6,印尼,農、林、漁、牧,24
2015,6,菲律賓,農、林、漁、牧,54
2015,7,印尼,農、林、漁、牧,25
2015,7,菲律賓,農、林、漁、牧,50
2015,8,印尼,農、林、漁、牧,29
2015,8,菲律賓,農、林、漁、牧,48
2015,9,印尼,農、林、漁、牧,34
2015,9,菲律賓,農、林、漁、牧,47
2015,10,印尼,農、林、漁、牧,29
2015,10,菲律賓,農、林、漁、牧,46
2015,11,印尼,農、林、漁、牧,31
2015,11,菲律賓,農、林、漁、牧,50
2015,12,印尼,農、林、漁、牧,30
2015,12,菲律賓,農、林、漁、牧,49
2016,1,印尼,農、林、漁、牧,30
2016,1,菲律賓,農、林、漁、牧,38
2016,1,泰國,農、林、漁、牧,2
2016,1,越南,農、林、漁、牧,2
2016,2,印尼,農、林、漁、牧,32
2016,2,菲律賓,農、林、漁、牧,34
2016,2,泰國,農、林、漁、牧,9
2016,2,越南,農、林、漁、牧,2
2016,3,印尼,農、林、漁、牧,31
2016,3,菲律賓,農、林、漁、牧,33
2016,3,泰國,農、林、漁、牧,10
2016,3,越南,農、林、漁、牧,3
2016,4,印尼,農、林、漁、牧,37
2016,4,菲律賓,農、林、漁、牧,28
2016,4,泰國,農、林、漁、牧,10
2016,4,越南,農、林、漁、牧,6
2016,5,印尼,農、林、漁、牧,41
2016,5,菲律賓,農、林、漁、牧,24
2016,5,泰國,農、林、漁、牧,7
2016,5,越南,農、林、漁、牧,3
2016,6,印尼,農、林、漁、牧,40
2016,6,菲律賓,農、林、漁、牧,20
2016,6,泰國,農、林、漁、牧,7
2016,6,越南,農、林、漁、牧,5
2016,7,印尼,農、林、漁、牧,36
2016,7,菲律賓,農、林、漁、牧,21
2016,7,泰國,農、林、漁、牧,9
2016,7,越南,農、林、漁、牧,8
2016,8,印尼,農、林、漁、牧,36
2016,8,菲律賓,農、林、漁、牧,22
2016,8,泰國,農、林、漁、牧,9
2016,8,越南,農、林、漁、牧,6
2016,9,印尼,農、林、漁、牧,36
2016,9,菲律賓,農、林、漁、牧,20
2016,9,泰國,農、林、漁、牧,9
2016,9,越南,農、林、漁、牧,6
2016,10,印尼,農、林、漁、牧,35
2016,10,菲律賓,農、林、漁、牧,20
2016,10,泰國,農、林、漁、牧,5
2016,10,越南,農、林、漁、牧,5
2016,11,印尼,農、林、漁、牧,33
2016,11,菲律賓,農、林、漁、牧,18
2016,11,泰國,農、林、漁、牧,5
2016,11,越南,農、林、漁、牧,5
2016,12,印尼,農、林、漁、牧,33
2016,12,菲律賓,農、林、漁、牧,19
2016,12,泰國,農、林、漁、牧,3
2016,12,越南,農、林、漁、牧,5
