"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"104年 1月底","臺北市/ 印尼",33,120,300,25860,389
"104年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 1月底","臺北市/ 菲律賓",39,47,－,4691,197
"104年 1月底","臺北市/ 泰國",－,71,850,91,2
"104年 1月底","臺北市/ 越南",－,366,167,1253,1
"104年 1月底","臺北市/ 蒙古",－,－,－,－,－
"104年 1月底","臺北市/ 其他",－,－,－,－,2
"104年 2月底","臺北市/ 印尼",29,121,340,26036,382
"104年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 2月底","臺北市/ 菲律賓",38,50,－,4782,204
"104年 2月底","臺北市/ 泰國",－,70,862,95,4
"104年 2月底","臺北市/ 越南",－,366,201,1255,1
"104年 2月底","臺北市/ 蒙古",－,－,－,－,－
"104年 2月底","臺北市/ 其他",－,－,－,－,2
"104年 3月底","臺北市/ 印尼",27,125,501,26208,387
"104年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 3月底","臺北市/ 菲律賓",34,54,－,4799,203
"104年 3月底","臺北市/ 泰國",－,69,913,91,3
"104年 3月底","臺北市/ 越南",－,371,216,1221,1
"104年 3月底","臺北市/ 蒙古",－,－,－,－,－
"104年 3月底","臺北市/ 其他",－,－,－,－,2
"104年 4月底","臺北市/ 印尼",25,126,793,26531,387
"104年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 4月底","臺北市/ 菲律賓",31,54,－,4869,206
"104年 4月底","臺北市/ 泰國",－,66,1051,89,4
"104年 4月底","臺北市/ 越南",－,384,229,1208,1
"104年 4月底","臺北市/ 蒙古",－,－,－,－,－
"104年 4月底","臺北市/ 其他",－,－,－,－,2
"104年 5月底","臺北市/ 印尼",25,124,881,26365,372
"104年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 5月底","臺北市/ 菲律賓",46,52,10,4868,204
"104年 5月底","臺北市/ 泰國",－,68,1102,84,4
"104年 5月底","臺北市/ 越南",－,401,182,1204,1
"104年 5月底","臺北市/ 蒙古",－,－,－,－,－
"104年 5月底","臺北市/ 其他",－,－,－,－,2
"104年 6月底","臺北市/ 印尼",24,124,938,26180,365
"104年 6月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 6月底","臺北市/ 菲律賓",54,53,12,4911,203
"104年 6月底","臺北市/ 泰國",－,66,1200,86,3
"104年 6月底","臺北市/ 越南",－,412,220,1203,1
"104年 6月底","臺北市/ 蒙古",－,－,－,－,－
"104年 6月底","臺北市/ 其他",－,－,－,－,2
"104年 7月底","臺北市/ 印尼",25,128,1004,25978,361
"104年 7月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 7月底","臺北市/ 菲律賓",50,54,12,4856,207
"104年 7月底","臺北市/ 泰國",－,66,1222,82,5
"104年 7月底","臺北市/ 越南",－,436,308,1195,1
"104年 7月底","臺北市/ 蒙古",－,－,－,－,－
"104年 7月底","臺北市/ 其他",－,－,－,－,2
"104年 8月底","臺北市/ 印尼",29,127,986,26151,361
"104年 8月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 8月底","臺北市/ 菲律賓",48,52,26,4878,200
"104年 8月底","臺北市/ 泰國",－,65,1225,81,5
"104年 8月底","臺北市/ 越南",－,457,294,1168,2
"104年 8月底","臺北市/ 蒙古",－,－,－,－,－
"104年 8月底","臺北市/ 其他",－,－,－,－,2
"104年 9月底","臺北市/ 印尼",34,129,1000,26157,373
"104年 9月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 9月底","臺北市/ 菲律賓",47,54,26,4916,213
"104年 9月底","臺北市/ 泰國",－,64,1274,79,5
"104年 9月底","臺北市/ 越南",－,467,259,1147,3
"104年 9月底","臺北市/ 蒙古",－,－,－,－,－
"104年 9月底","臺北市/ 其他",－,－,－,－,2
"104年 10月底","臺北市/ 印尼",29,131,1007,26218,371
"104年 10月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 10月底","臺北市/ 菲律賓",46,67,27,4933,214
"104年 10月底","臺北市/ 泰國",－,61,1315,76,5
"104年 10月底","臺北市/ 越南",－,469,255,1150,3
"104年 10月底","臺北市/ 蒙古",－,－,－,－,－
"104年 10月底","臺北市/ 其他",－,－,－,－,2
"104年 11月底","臺北市/ 印尼",31,134,1022,26178,370
"104年 11月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 11月底","臺北市/ 菲律賓",50,70,25,4994,216
"104年 11月底","臺北市/ 泰國",－,62,1376,74,5
"104年 11月底","臺北市/ 越南",－,477,250,1127,3
"104年 11月底","臺北市/ 蒙古",－,－,－,－,－
"104年 11月底","臺北市/ 其他",－,－,－,－,2
"104年 12月底","臺北市/ 印尼",30,139,1007,26176,368
"104年 12月底","臺北市/ 馬來西亞",－,－,－,－,－
"104年 12月底","臺北市/ 菲律賓",49,69,25,5038,219
"104年 12月底","臺北市/ 泰國",－,62,1397,74,5
"104年 12月底","臺北市/ 越南",－,492,229,1175,3
"104年 12月底","臺北市/ 蒙古",－,－,－,－,－
"104年 12月底","臺北市/ 其他",－,－,－,－,2
"105年 1月底","臺北市/ 印尼",30,146,1003,26279,367
"105年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 1月底","臺北市/ 菲律賓",38,70,25,5082,225
"105年 1月底","臺北市/ 泰國",2,61,1386,75,5
"105年 1月底","臺北市/ 越南",2,487,240,1267,3
"105年 1月底","臺北市/ 蒙古",－,－,－,－,－
"105年 1月底","臺北市/ 其他",－,－,－,－,2
"105年 2月底","臺北市/ 印尼",32,143,1001,26287,362
"105年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 2月底","臺北市/ 菲律賓",34,69,25,5122,222
"105年 2月底","臺北市/ 泰國",9,59,1382,78,5
"105年 2月底","臺北市/ 越南",2,487,237,1289,2
"105年 2月底","臺北市/ 蒙古",－,－,－,－,－
"105年 2月底","臺北市/ 其他",－,－,－,－,2
"105年 3月底","臺北市/ 印尼",31,147,1001,26631,365
"105年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 3月底","臺北市/ 菲律賓",33,67,27,5224,228
"105年 3月底","臺北市/ 泰國",10,54,1515,79,5
"105年 3月底","臺北市/ 越南",3,485,234,1337,2
"105年 3月底","臺北市/ 蒙古",－,－,－,－,－
"105年 3月底","臺北市/ 其他",－,－,－,－,2
"105年 4月底","臺北市/ 印尼",37,145,993,26393,364
"105年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 4月底","臺北市/ 菲律賓",28,65,27,5208,226
"105年 4月底","臺北市/ 泰國",10,55,1533,78,5
"105年 4月底","臺北市/ 越南",6,484,230,1368,4
"105年 4月底","臺北市/ 蒙古",－,－,－,－,－
"105年 4月底","臺北市/ 其他",－,－,－,－,2
"105年 5月底","臺北市/ 印尼",41,144,983,26394,359
"105年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 5月底","臺北市/ 菲律賓",24,67,27,5241,226
"105年 5月底","臺北市/ 泰國",7,54,1561,75,6
"105年 5月底","臺北市/ 越南",3,501,228,1383,5
"105年 5月底","臺北市/ 蒙古",－,－,－,－,－
"105年 5月底","臺北市/ 其他",－,－,－,－,2
"105年 6月底","臺北市/ 印尼",40,146,960,26304,361
"105年 6月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 6月底","臺北市/ 菲律賓",20,69,53,5378,232
"105年 6月底","臺北市/ 泰國",7,58,1491,74,6
"105年 6月底","臺北市/ 越南",5,525,223,1393,5
"105年 6月底","臺北市/ 蒙古",－,－,－,－,－
"105年 6月底","臺北市/ 其他",－,－,－,－,2
"105年 7月底","臺北市/ 印尼",36,149,944,26222,348
"105年 7月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 7月底","臺北市/ 菲律賓",21,71,57,5444,223
"105年 7月底","臺北市/ 泰國",9,57,1461,75,6
"105年 7月底","臺北市/ 越南",8,517,222,1410,5
"105年 7月底","臺北市/ 蒙古",－,－,－,－,－
"105年 7月底","臺北市/ 其他",－,－,－,－,1
"105年 8月底","臺北市/ 印尼",36,150,928,26410,335
"105年 8月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 8月底","臺北市/ 菲律賓",22,71,57,5483,227
"105年 8月底","臺北市/ 泰國",9,53,1464,78,6
"105年 8月底","臺北市/ 越南",6,520,216,1441,5
"105年 8月底","臺北市/ 蒙古",－,－,－,－,－
"105年 8月底","臺北市/ 其他",－,－,－,－,1
"105年 9月底","臺北市/ 印尼",36,148,920,26339,326
"105年 9月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 9月底","臺北市/ 菲律賓",20,98,56,5471,230
"105年 9月底","臺北市/ 泰國",9,51,1417,80,6
"105年 9月底","臺北市/ 越南",6,526,207,1462,5
"105年 9月底","臺北市/ 蒙古",－,－,－,－,－
"105年 9月底","臺北市/ 其他",－,－,－,－,1
"105年 10月底","臺北市/ 印尼",35,143,893,26523,324
"105年 10月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 10月底","臺北市/ 菲律賓",20,100,56,5478,225
"105年 10月底","臺北市/ 泰國",5,52,1370,79,6
"105年 10月底","臺北市/ 越南",5,547,201,1493,6
"105年 10月底","臺北市/ 蒙古",－,－,－,－,－
"105年 10月底","臺北市/ 其他",－,－,－,－,1
"105年 11月底","臺北市/ 印尼",33,151,897,26599,318
"105年 11月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 11月底","臺北市/ 菲律賓",18,99,56,5445,228
"105年 11月底","臺北市/ 泰國",5,50,1334,75,6
"105年 11月底","臺北市/ 越南",5,562,210,1548,6
"105年 11月底","臺北市/ 蒙古",－,－,－,－,－
"105年 11月底","臺北市/ 其他",－,－,－,－,1
"105年 12月底","臺北市/ 印尼",33,152,874,26861,316
"105年 12月底","臺北市/ 馬來西亞",－,－,－,－,－
"105年 12月底","臺北市/ 菲律賓",19,94,56,5430,225
"105年 12月底","臺北市/ 泰國",3,48,1305,77,7
"105年 12月底","臺北市/ 越南",5,571,207,1606,7
