"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"104年 1月底","新北市/ 印尼",1286,5274,123,23643,177
"104年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 1月底","新北市/ 菲律賓",166,6218,－,2977,33
"104年 1月底","新北市/ 泰國",3,6825,1308,77,－
"104年 1月底","新北市/ 越南",－,17174,560,2030,1
"104年 1月底","新北市/ 蒙古",－,－,－,1,－
"104年 1月底","新北市/ 其他",－,－,－,－,－
"104年 2月底","新北市/ 印尼",1251,5325,123,23857,179
"104年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 2月底","新北市/ 菲律賓",163,6328,－,3060,34
"104年 2月底","新北市/ 泰國",3,6807,1307,78,－
"104年 2月底","新北市/ 越南",－,17085,579,2021,1
"104年 2月底","新北市/ 蒙古",－,－,－,1,－
"104年 2月底","新北市/ 其他",－,－,－,－,－
"104年 3月底","新北市/ 印尼",1213,5439,122,23988,179
"104年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 3月底","新北市/ 菲律賓",154,6380,－,3103,36
"104年 3月底","新北市/ 泰國",3,6769,1287,78,－
"104年 3月底","新北市/ 越南",－,17311,525,2010,1
"104年 3月底","新北市/ 蒙古",－,－,－,1,－
"104年 3月底","新北市/ 其他",－,－,－,－,－
"104年 4月底","新北市/ 印尼",1227,5430,121,24381,193
"104年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 4月底","新北市/ 菲律賓",161,6376,－,3145,32
"104年 4月底","新北市/ 泰國",3,6670,1265,79,－
"104年 4月底","新北市/ 越南",－,17556,484,2018,1
"104年 4月底","新北市/ 蒙古",－,－,－,1,－
"104年 4月底","新北市/ 其他",－,－,－,－,－
"104年 5月底","新北市/ 印尼",1248,5461,120,24304,183
"104年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 5月底","新北市/ 菲律賓",163,6389,－,3179,37
"104年 5月底","新北市/ 泰國",3,6619,1264,76,－
"104年 5月底","新北市/ 越南",－,17779,561,1979,1
"104年 5月底","新北市/ 蒙古",－,－,－,1,－
"104年 5月底","新北市/ 其他",－,－,－,－,－
"104年 6月底","新北市/ 印尼",1215,5458,120,24175,180
"104年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 6月底","新北市/ 菲律賓",175,6371,－,3160,39
"104年 6月底","新北市/ 泰國",3,6591,1271,70,－
"104年 6月底","新北市/ 越南",－,18012,557,1988,1
"104年 6月底","新北市/ 蒙古",－,－,－,1,－
"104年 6月底","新北市/ 其他",－,－,－,－,－
"104年 7月底","新北市/ 印尼",1155,5531,120,24253,166
"104年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 7月底","新北市/ 菲律賓",173,6485,－,3248,38
"104年 7月底","新北市/ 泰國",3,6770,1264,69,－
"104年 7月底","新北市/ 越南",－,18353,589,1988,－
"104年 7月底","新北市/ 蒙古",－,－,－,－,－
"104年 7月底","新北市/ 其他",－,－,－,－,－
"104年 8月底","新北市/ 印尼",1123,5533,116,24395,162
"104年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 8月底","新北市/ 菲律賓",197,6544,－,3255,40
"104年 8月底","新北市/ 泰國",3,6674,1240,69,－
"104年 8月底","新北市/ 越南",－,18537,580,1980,－
"104年 8月底","新北市/ 蒙古",－,－,－,－,－
"104年 8月底","新北市/ 其他",－,－,－,－,－
"104年 9月底","新北市/ 印尼",1106,5544,109,24471,164
"104年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 9月底","新北市/ 菲律賓",212,6610,－,3295,42
"104年 9月底","新北市/ 泰國",3,6705,1236,70,－
"104年 9月底","新北市/ 越南",－,18745,581,1968,－
"104年 9月底","新北市/ 蒙古",－,－,－,－,－
"104年 9月底","新北市/ 其他",－,－,－,－,－
"104年 10月底","新北市/ 印尼",1112,5614,109,24642,160
"104年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 10月底","新北市/ 菲律賓",212,6635,－,3324,42
"104年 10月底","新北市/ 泰國",3,6719,1222,70,－
"104年 10月底","新北市/ 越南",1,19124,575,1975,－
"104年 10月底","新北市/ 蒙古",－,－,－,1,－
"104年 10月底","新北市/ 其他",－,－,－,－,－
"104年 11月底","新北市/ 印尼",1133,5622,109,24613,157
"104年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 11月底","新北市/ 菲律賓",217,6668,－,3378,45
"104年 11月底","新北市/ 泰國",3,6737,1199,67,－
"104年 11月底","新北市/ 越南",－,19359,567,1959,－
"104年 11月底","新北市/ 蒙古",－,－,－,1,－
"104年 11月底","新北市/ 其他",－,－,－,－,－
"104年 12月底","新北市/ 印尼",1153,5612,107,24551,157
"104年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"104年 12月底","新北市/ 菲律賓",221,6633,－,3432,42
"104年 12月底","新北市/ 泰國",3,6778,1147,64,－
"104年 12月底","新北市/ 越南",35,19653,587,2000,－
"104年 12月底","新北市/ 蒙古",－,－,－,－,－
"104年 12月底","新北市/ 其他",－,－,－,－,－
"105年 1月底","新北市/ 印尼",1142,5615,106,24526,155
"105年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 1月底","新北市/ 菲律賓",221,6749,－,3465,42
"105年 1月底","新北市/ 泰國",3,6800,1100,70,－
"105年 1月底","新北市/ 越南",136,19844,580,2095,－
"105年 1月底","新北市/ 蒙古",－,－,－,－,－
"105年 1月底","新北市/ 其他",－,－,－,－,－
"105年 2月底","新北市/ 印尼",1101,5557,106,24539,155
"105年 2月底","新北市/ 馬來西亞",－,－,－,－,－
