機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目,特約縣市,特約區域,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,1S0200001,1,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,121.677482605,25.0716438293,B,喘息服務,新北市,板橋區;三重區;中和區;永和區;新莊區;新店區;汐止區;瑞芳區;土城區;蘆洲區;平溪區;雙溪區;貢寮區;金山區;萬里區,02-86488388,wba@hangan.org,胡世賢,20250101.0,20271231.0,20250110 15:22:50
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,1S0200001,1,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,121.677482605,25.0716438293,A,個案管理服務,新北市,三重區;中和區;永和區;新莊區;汐止區,02-86488388,wba@hangan.org,胡世賢,20250101.0,20250630.0,20241231 16:21:37
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,1S0200001,1,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,121.677482605,25.0716438293,B,營養餐飲服務,新北市,中和區;永和區;汐止區,02-86488388,wba@hangan.org,胡世賢,20250101.0,20250131.0,20250122 14:39:55
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,1S0200001,1,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,121.677482605,25.0716438293,B,喘息服務,桃園市,桃園區;中壢區;大溪區;蘆竹區;大園區;龜山區;八德區;觀音區;復興區,02-86488388,wba@hangan.org,胡世賢,20231226.0,20251231.0,20231231 15:31:40
社團法人愛福家協會附設新北市私立愛福家居家式服務類長期照顧服務機構,1R0100007,1,新北市,板橋區,新北市板橋區雙十路二段217號4樓,121.4752655029,25.0337276459,B,居家服務,臺北市,大安區;中山區;中正區;大同區;萬華區,02-22500177,hr01@ilive.org.tw,涂林德媛,20180101.0,20261231.0,20231229 16:36:37
社團法人愛福家協會附設新北市私立愛福家居家式服務類長期照顧服務機構,1R0100007,1,新北市,板橋區,新北市板橋區雙十路二段217號4樓,121.4752655029,25.0337276459,B,居家服務,新北市,板橋區;新莊區;瑞芳區,02-22500177,hr01@ilive.org.tw,涂林德媛,20250101.0,20271231.0,20241227 09:25:37
新北市私立旺福居家長照機構,1X0200001,1,新北市,三重區,新北市三重區溪美里福隆路48號1樓,121.492477417,25.078578949,B,專業照護服務,新北市,板橋區;三重區;中和區;永和區;新莊區;淡水區;土城區;蘆洲區;五股區;林口區;八里區,02-28571526,wfservice2@gmail.com,黃雅萍,20220101.0,20241231.0,20220224 16:32:38
新北市私立旺福居家長照機構,1X0200001,1,新北市,三重區,新北市三重區溪美里福隆路48號1樓,121.492477417,25.078578949,B,居家服務,新北市,板橋區;三重區;中和區;新莊區;蘆洲區,02-28571526,wfservice2@gmail.com,黃雅萍,20250101.0,20271231.0,20241223 11:11:59
新北市私立旺福居家長照機構,1X0200001,1,新北市,三重區,新北市三重區溪美里福隆路48號1樓,121.492477417,25.078578949,B,喘息服務,新北市,板橋區;三重區;中和區;新莊區;蘆洲區,02-28571526,wfservice2@gmail.com,黃雅萍,20250101.0,20271231.0,20241223 11:12:41
新北市私立皇冠老人養護中心,A10200001,A1,新北市,新店區,新北市新店區明德里民權路60號4樓,121.5385818481,24.9830913544,B,喘息服務,臺北市,松山區;信義區;大安區;中山區;中正區;大同區;萬華區;文山區;南港區;內湖區;士林區;北投區,02-291571112,minilo1688@yahoo.com.tw,黃伯超,20250101.0,20261231.0,20250204 14:56:19
